hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn
2767,馈,2767,3116,kuì,1
2768,瞅,2768,3117,chǒu,1
2769,墅,2769,3118,shù,1
2770,蛙,2770,3119,wā,1
2771,暮,2771,3120,mù,1
2772,畴,2772,3121,chóu,1
2774,缆,2774,3122,lǎn,1
2775,婶,2775,3123,shěn,1
2776,绎,2776,3124,yì,1
2777,钧,2777,3125,jūn,1
2778,搂,2778,3126,lǒu,1
2778,搂,2778,3127,lōu,2
2779,牡,2779,3128,mǔ,1
2780,宵,2780,3129,xiāo,1
2781,秉,2781,3130,bǐng,1
2782,棕,2782,3131,zōng,1
2783,蚊,2783,3132,wén,1
2784,敷,2784,3133,fū,1
2785,嫉,2785,3134,jí,1
2786,恤,2786,3135,xù,1
2787,铲,2787,3136,chǎn,1
2788,迭,2788,3137,dié,1
2789,硝,2789,3138,xiāo,1
2790,凹,2790,3139,āo,1
2791,隧,2791,3140,suì,1
2792,捂,2792,3141,wǔ,1
2793,蒜,2793,3142,suàn,1
2794,溉,2794,3143,gài,1
2795,觅,2795,3144,mì,1
2796,姥,2796,3145,mǔ,1
2797,叭,2797,3146,bā,1
2798,穗,2798,3147,suì,1
2799,硅,2799,3148,guī,1
2800,烁,2800,3149,shuò,1
2801,稼,2801,3150,jià,1
2802,棺,2802,3151,guān,1
2804,揉,2804,3152,róu,1
2805,潇,2805,3153,xiāo,1
2806,冥,2806,3154,míng,1
2807,怔,2807,3155,zhèng,1
2808,恍,2808,3156,huǎng,1
2809,氓,2809,3157,méng,1
2810,诀,2810,3158,jué,1
2811,旷,2811,3159,kuàng,1
2812,斧,2812,3160,fǔ,1
2813,氮,2813,3161,dàn,1
2815,堕,2815,3162,duò,1
2816,赣,2816,3163,gàn,1
2817,曝,2817,3164,pù,1
2818,侄,2818,3165,zhí,1
2820,扒,2820,3166,bā,1
2820,扒,2820,3167,pá,2
2821,灼,2821,3168,zhuó,1
2822,蔚,2822,3169,wèi,1
2822,蔚,2822,3170,yù,2
2823,譬,2823,3171,pì,1
2824,躬,2824,3172,gōng,1
2825,憋,2825,3173,biē,1
2826,泌,2826,3174,mì,1
2827,绅,2827,3175,shēn,1
2828,聋,2828,3176,lóng,1
2829,菇,2829,3177,gū,1
2830,炕,2830,3178,kàng,1
2831,巍,2831,3179,wēi,1
2832,褐,2832,3180,hè,1
2833,怯,2833,3181,qiè,1
2834,寝,2834,3182,qǐn,1
2835,苟,2835,3183,gǒu,1
2836,陡,2836,3184,dǒu,1
2837,濒,2837,3185,bīn,1
2838,掷,2838,3186,zhì,1
2839,菱,2839,3187,líng,1
2840,卦,2840,3188,guà,1
2841,窥,2841,3189,kuī,1
2842,盏,2842,3190,zhǎn,1
2843,琢,2843,3191,zuó,1
2843,琢,2843,3192,zhuó,2
2844,刃,2844,3193,rèn,1
2845,颊,2845,3194,jiá,1
2846,凿,2846,3195,záo,1
2847,贮,2847,3196,zhù,1
2848,瞻,2848,3197,zhān,1
2849,叨,2849,3198,tāo,1
2849,叨,2849,3199,dáo,2
2850,赎,2850,3200,shú,1
2851,赁,2851,3201,lìn,1
2852,瓣,2852,3202,bàn,1
2853,渝,2853,3203,yú,1
2854,韧,2854,3204,rèn,1
2855,擎,2855,3205,qíng,1
2856,拂,2856,3206,fú,1
2857,簿,2857,3207,bù,1
2858,琐,2858,3208,suǒ,1
2859,滔,2859,3209,tāo,1
2860,缕,2860,3210,lǚ,1
2861,胚,2861,3211,pēi,1
2862,椎,2862,3212,zhuī,1
2863,炬,2863,3213,jù,1
2865,寇,2865,3214,kòu,1
2867,筛,2867,3215,shāi,1
2868,拣,2868,3216,jiǎn,1
2869,襟,2869,3217,jīn,1
2870,沮,2870,3218,jǔ,1
2870,沮,2870,3219,jù,2
2870,沮,2870,3220,jū,3
2871,茵,2871,3221,yīn,1
2872,嵌,2872,3222,qiàn,1
2874,骆,2874,3223,luò,1
2876,咏,2876,3224,yǒng,1
2877,蛛,2877,3225,zhū,1
2878,剔,2878,3226,tī,1
2879,蝎,2879,3227,xiē,1
2880,暇,2880,3228,xiá,1
2881,弧,2881,3229,hú,1
2882,眯,2882,3230,mī,1
2882,眯,2882,3231,mí,2
2883,啪,2883,3232,pā,1
2884,袱,2884,3233,fú,1
2885,熄,2885,3234,xī,1
2886,矫,2886,3235,jiǎo,1
2886,矫,2886,3236,jiáo,2
2887,倚,2887,3237,yǐ,1
2888,雌,2888,3238,cí,1
2889,撇,2889,3239,piě,1
2889,撇,2889,3240,piē,2
2890,梢,2890,3241,shāo,1
2891,淌,2891,3242,tǎng,1
2892,讳,2892,3243,huì,1
2893,勺,2893,3244,sháo,1
2894,吩,2894,3245,fēn,1
2895,茎,2895,3246,jīng,1
2896,钾,2896,3247,jiǎ,1
2897,诡,2897,3248,guǐ,1
2898,镶,2898,3249,xiāng,1
2899,庐,2899,3250,lú,1
2900,猩,2900,3251,xīng,1
2901,诫,2901,3252,jiè,1
2902,卒,2902,3253,zú,1
2902,卒,2902,3254,cù,2
2903,吏,2903,3255,lì,1
2904,沼,2904,3256,zhǎo,1
2905,溯,2905,3257,sù,1
2906,秧,2906,3258,yāng,1
2907,拎,2907,3259,līn,1
2908,棘,2908,3260,jí,1
2909,痰,2909,3261,tán,1
2910,蔑,2910,3262,miè,1
2913,秤,2913,3263,chèng,1
2914,裳,2914,3264,cháng,1
2915,苔,2915,3265,tái,1
2915,苔,2915,3266,tāi,2
2916,絮,2916,3267,xù,1
2917,滤,2917,3268,lǜ,1
2918,朦,2918,3269,méng,1
2919,尧,2919,3270,yáo,1
2920,熔,2920,3271,róng,1
2921,疚,2921,3272,jiù,1
2922,绞,2922,3273,jiǎo,1
2923,腥,2923,3274,xīng,1
2924,枉,2924,3275,wǎng,1
2925,橙,2925,3276,chéng,1
2926,涝,2926,3277,lào,1
2928,眷,2928,3278,juàn,1
2929,缀,2929,3279,zhuì,1
2930,橱,2930,3280,chú,1
2931,揪,2931,3281,jiū,1
2932,哉,2932,3282,zāi,1
2933,吱,2933,3283,zī,1
2933,吱,2933,3284,zhī,2
2934,崎,2934,3285,qí,1
2935,赂,2935,3286,lù,1
2936,揣,2936,3287,chuǎi,1
2936,揣,2936,3288,chuāi,2
2937,棠,2937,3289,táng,1
2938,跋,2938,3290,bá,1
2939,怠,2939,3291,dài,1
2940,蝇,2940,3292,yíng,1
2941,胧,2941,3293,lóng,1
2942,浊,2942,3294,zhuó,1
2943,钮,2943,3295,niǔ,1
2944,乍,2944,3296,zhà,1
2945,鳞,2945,3297,lín,1
2947,庇,2947,3298,bì,1
2948,揍,2948,3299,zòu,1
2949,歼,2949,3300,jiān,1
2950,啃,2950,3301,kěn,1
2951,憎,2951,3302,zēng,1
2952,矗,2952,3303,chù,1
2953,剿,2953,3304,jiǎo,1
2953,剿,2953,3305,chāo,2
2954,榴,2954,3306,liú,1
2955,矢,2955,3307,shǐ,1
2956,笋,2956,3308,sǔn,1
2957,拽,2957,3309,zhuài,1
2957,拽,2957,3310,zhuāi,2
2958,嗽,2958,3311,sòu,1
2959,蜀,2959,3312,shǔ,1
2960,闺,2960,3313,guī,1
2961,嗜,2961,3314,shì,1
2962,拧,2962,3315,nǐng,1
2962,拧,2962,3316,níng,2
2962,拧,2962,3317,nìng,3
2963,鞠,2963,3318,jū,1
2964,淳,2964,3319,chún,1
2965,拙,2965,3320,zhuō,1
2966,皂,2966,3321,zào,1
2967,臀,2967,3322,tún,1
2968,虏,2968,3323,lǔ,1
2969,卉,2969,3324,huì,1
2970,膛,2970,3325,táng,1
2971,窍,2971,3326,qiào,1
2972,痘,2972,3327,dòu,1
2973,狸,2973,3328,lí,1
2974,蕉,2974,3329,jiāo,1
2975,摹,2975,3330,mó,1
2976,骏,2976,3331,jùn,1
2977,疤,2977,3332,bā,1
2978,磕,2978,3333,kē,1
2979,渤,2979,3334,bó,1
2980,哺,2980,3335,bǔ,1
2981,蚂,2981,3336,mà,1
2981,蚂,2981,3337,mā,2
2982,绷,2982,3338,bēng,1
2982,绷,2982,3339,běng,2
2982,绷,2982,3340,bèng,3
2983,筷,2983,3341,kuài,1
2984,廓,2984,3342,kuò,1
2985,噩,2985,3343,è,1
2986,籽,2986,3344,zǐ,1
2987,敛,2987,3345,liǎn,1
2988,掺,2988,3346,chān,1
2988,掺,2988,3347,shǎn,2
2988,掺,2988,3348,càn,3
2989,滇,2989,3349,diān,1
2990,啼,2990,3350,tí,1
2991,狡,2991,3351,jiǎo,1
2992,庚,2992,3352,gēng,1
2993,屿,2993,3353,yǔ,1
2994,烘,2994,3354,hōng,1
2995,徘,2995,3355,pái,1
2996,溅,2996,3356,jiàn,1
2997,锈,2997,3357,xiù,1
2998,捅,2998,3358,tǒng,1
2999,盔,2999,3359,kuī,1
3000,皖,3000,3360,wǎn,1
3001,礁,3001,3361,jiāo,1
3002,涡,3002,3362,wō,1
3002,涡,3002,3363,guō,2
3003,酥,3003,3364,sū,1
3004,嚣,3004,3365,xiāo,1
3004,嚣,3004,3366,áo,2
3005,驯,3005,3367,xùn,1
3006,嘶,3006,3368,sī,1
3007,漓,3007,3369,lí,1
3008,砌,3008,3370,qì,1
3009,殴,3009,3371,ōu,1
3010,亥,3010,3372,hài,1
3011,栓,3011,3373,shuān,1
3012,莽,3012,3374,mǎng,1
3013,馅,3013,3375,xiàn,1
3014,睐,3014,3376,lài,1
3015,悍,3015,3377,hàn,1
3016,簇,3016,3378,cù,1
3017,惫,3017,3379,bèi,1
3018,绰,3018,3380,chuò,1
3019,趾,3019,3381,zhǐ,1
3020,酝,3020,3382,yùn,1
3021,芹,3021,3383,qín,1
3022,锌,3022,3384,xīn,1
3023,黯,3023,3385,àn,1
3024,柿,3024,3386,shì,1
3025,扼,3025,3387,è,1
3026,戎,3026,3388,róng,1
3027,轧,3027,3389,yà,1
3027,轧,3027,3390,zhá,2
3028,隋,3028,3391,suí,1
3029,沥,3029,3392,lì,1
3030,颅,3030,3393,lú,1
3031,祀,3031,3394,sì,1
3032,骇,3032,3395,hài,1
3033,渺,3033,3396,miǎo,1
3034,赃,3034,3397,zāng,1
3035,鲨,3035,3398,shā,1
3036,驹,3036,3399,jū,1
3037,烹,3037,3400,pēng,1
3038,窘,3038,3401,jiǒng,1
3039,禾,3039,3402,hé,1
3040,嗅,3040,3403,xiù,1
3041,洼,3041,3404,wā,1
3042,墩,3042,3405,dūn,1
3043,锯,3043,3406,jù,1
3044,檐,3044,3407,yán,1
3045,梗,3045,3408,gěng,1
3046,汹,3046,3409,xiōng,1
3047,瀑,3047,3410,pù,1
3048,苛,3048,3411,kē,1
3049,靡,3049,3412,mǐ,1
3049,靡,3049,3413,mí,2
3050,搓,3050,3414,cuō,1
3051,捍,3051,3415,hàn,1
3052,眶,3052,3416,kuàng,1
3053,跤,3053,3417,jiāo,1
3054,荧,3054,3418,yíng,1
3055,墟,3055,3419,xū,1
3056,焊,3056,3420,hàn,1
3057,榆,3057,3421,yú,1
3058,澈,3058,3422,chè,1
3059,拇,3059,3423,mǔ,1
3060,橘,3060,3424,jú,1
3061,疮,3061,3425,chuāng,1
3062,窒,3062,3426,zhì,1
3063,粟,3063,3427,sù,1
3064,犁,3064,3428,lí,1
3065,涤,3065,3429,dí,1
3066,彤,3066,3430,tóng,1
3067,肘,3067,3431,zhǒu,1
3068,擒,3068,3432,qín,1
3069,钝,3069,3433,dùn,1
3071,栅,3071,3434,zhà,1
3071,栅,3071,3435,shān,2
3072,秽,3072,3436,huì,1
3073,楷,3073,3437,kǎi,1
3073,楷,3073,3438,jiē,2
3074,雏,3074,3439,chú,1
3075,挟,3075,3440,xié,1
3076,靶,3076,3441,bǎ,1
3077,娥,3077,3442,é,1
3078,泵,3078,3443,bèng,1
3079,赦,3079,3444,shè,1
3080,嗡,3080,3445,wēng,1
3081,掐,3081,3446,qiā,1
3082,岔,3082,3447,chà,1
3084,砰,3084,3448,pēng,1
3085,竿,3085,3449,gān,1
3086,淤,3086,3450,yū,1
3087,苇,3087,3451,wěi,1
3088,颓,3088,3452,tuí,1
3090,踊,3090,3453,yǒng,1
3091,曙,3091,3454,shǔ,1
3092,寅,3092,3455,yín,1
3093,酪,3093,3456,lào,1
3094,芜,3094,3457,wú,1
3095,叩,3095,3458,kòu,1
3096,梧,3096,3459,wú,1
3097,沐,3097,3460,mù,1
3098,溺,3098,3461,nì,1
3099,煽,3099,3462,shān,1
3100,碘,3100,3463,diǎn,1
3102,沁,3102,3464,qìn,1
3103,绽,3103,3465,zhàn,1
3104,肋,3104,3466,lèi,1
3104,肋,3104,3467,lē,2
3105,辫,3105,3468,biàn,1
3106,寥,3106,3469,liáo,1
3107,哮,3107,3470,xiào,1
3108,翩,3108,3471,piān,1
3109,丐,3109,3472,gài,1
3110,铐,3110,3473,kào,1
3111,糙,3111,3474,cāo,1
3112,榨,3112,3475,zhà,1
3113,槐,3113,3476,huái,1
3114,埠,3114,3477,bù,1
3115,婿,3115,3478,xù,1
3116,唾,3116,3479,tuò,1
3117,猖,3117,3480,chāng,1
3118,饵,3118,3481,ěr,1
3119,畸,3119,3482,jī,1
3120,唬,3120,3483,hǔ,1
3121,吭,3121,3484,kēng,1
3121,吭,3121,3485,háng,2
3122,莺,3122,3486,yīng,1
3124,嘀,3124,3487,dí,1
3125,锥,3125,3488,zhuī,1
3126,猿,3126,3489,yuán,1
3127,逞,3127,3490,chěng,1
3128,侈,3128,3491,chǐ,1
3129,剃,3129,3492,tì,1
3130,葫,3130,3493,hú,1
3131,叽,3131,3494,jī,1
3133,晌,3133,3495,shǎng,1
3134,舔,3134,3496,tiǎn,1
3135,孽,3135,3497,niè,1
3136,祠,3136,3498,cí,1
3137,槛,3137,3499,kǎn,1
3137,槛,3137,3500,jiàn,2
3138,脯,3138,3501,fǔ,1
3138,脯,3138,3502,pú,2
3139,愕,3139,3503,è,1
3140,屉,3140,3504,tì,1
3141,呛,3141,3505,qiàng,1
3141,呛,3141,3506,qiāng,2
3142,拴,3142,3507,shuān,1
3143,皓,3143,3508,hào,1
3144,辙,3144,3509,zhé,1
3145,懦,3145,3510,nuò,1
3146,庵,3146,3511,ān,1
3147,蹭,3147,3512,cèng,1
3148,饺,3148,3513,jiǎo,1
3149,炊,3149,3514,chuī,1
3150,憨,3150,3515,hān,1
3151,惭,3151,3516,cán,1
3152,沽,3152,3517,gū,1
3153,褂,3153,3518,guà,1
3154,烙,3154,3519,lào,1
3155,褪,3155,3520,tuì,1
3155,褪,3155,3521,tùn,2
3156,聆,3156,3522,líng,1
3157,犀,3157,3523,xī,1
3158,峨,3158,3524,é,1
3158,峨,3158,3525,éméi,2
3159,茬,3159,3526,chá,1
3160,肮,3160,3527,āng,1
3161,伺,3161,3528,sì,1
3162,卤,3162,3529,lǔ,1
3163,绊,3163,3530,bàn,1
3164,蹬,3164,3531,dēng,1
3165,悖,3165,3532,bèi,1
3166,椰,3166,3533,yē,1
3167,簧,3167,3534,huáng,1
3168,窖,3168,3535,jiào,1
3169,棱,3169,3536,léng,1
3170,峭,3170,3537,qiào,1
3171,筐,3171,3538,kuāng,1
3172,黔,3172,3539,qián,1
3173,绚,3173,3540,xuàn,1
3174,婪,3174,3541,lán,1
3175,鲸,3175,3542,jīng,1
3176,筝,3176,3543,zhēng,1
3177,娄,3177,3544,lóu,1
3178,凛,3178,3545,lǐn,1
3179,霄,3179,3546,xiāo,1
3180,茸,3180,3547,róng,1
3181,葵,3181,3548,kuí,1
3182,鳄,3182,3549,è,1
3183,蝉,3183,3550,chán,1
3184,夭,3184,3551,yāo,1
3185,涕,3185,3552,tì,1
3186,璧,3186,3553,bì,1
3187,茧,3187,3554,jiǎn,1
3188,堰,3188,3555,yàn,1
3189,邑,3189,3556,yì,1
3190,唠,3190,3557,láo,1
3190,唠,3190,3558,lào,2
3191,拭,3191,3559,shì,1
3192,伶,3192,3560,líng,1
3193,匣,3193,3561,xiá,1
3194,讥,3194,3562,jī,1
3195,悯,3195,3563,mǐn,1
3196,紊,3196,3564,wěn,1
3197,睫,3197,3565,jié,1
3198,肴,3198,3566,yáo,1
3199,衙,3199,3567,yá,1
3200,踱,3200,3568,duó,1
3201,蕊,3201,3569,ruǐ,1
3202,殉,3202,3570,xùn,1
3203,痹,3203,3571,bì,1
3204,刁,3204,3572,diāo,1
3205,蛤,3205,3573,gé,1
3208,栈,3208,3574,zhàn,1
3209,漾,3209,3575,yàng,1
3210,嚎,3210,3576,háo,1
3212,斟,3212,3577,zhēn,1
3214,擂,3214,3578,léi,1
3214,擂,3214,3579,lèi,2
3215,稠,3215,3580,chóu,1
3216,诬,3216,3581,wū,1
3217,榕,3217,3582,róng,1
3218,孵,3218,3583,fū,1
3219,匾,3219,3584,biǎn,1
3221,桦,3221,3585,huà,1
3222,哆,3222,3586,chǐ,1
3223,疹,3223,3587,zhěn,1
3224,柑,3224,3588,gān,1
3225,馒,3225,3589,mántou,1
3225,馒,3225,3590,mán,2
3226,蔼,3226,3591,ǎi,1
3227,拷,3227,3592,kǎo,1
3229,碾,3229,3593,niǎn,1
3230,捎,3230,3594,shāo,1
3230,捎,3230,3595,shào,2
3231,吆,3231,3596,yāo,1
3232,衅,3232,3597,xìn,1
3233,亢,3233,3598,kàng,1
3234,荔,3234,3599,lì,1
3235,刨,3235,3600,bào,1
3235,刨,3235,3601,páo,2
3236,呻,3236,3602,shēn,1
3237,懊,3237,3603,ào,1
3238,胰,3238,3604,yí,1
3239,豚,3239,3605,tún,1
3240,桨,3240,3606,jiǎng,1
3241,舵,3241,3607,duò,1
3242,缭,3242,3608,liáo,1
3243,喳,3243,3609,zhā,1
3244,钳,3244,3610,qián,1
3245,撩,3245,3611,liāo,1
3245,撩,3245,3612,liáo,2
3246,绢,3246,3613,juàn,1
3247,锄,3247,3614,chú,1
3248,瘩,3248,3615,dá,1
3249,啰,3249,3616,luó,1
3250,酌,3250,3617,zhuó,1
3251,篱,3251,3618,lí,1
3252,腮,3252,3619,sāi,1
3253,蘑,3253,3620,mó,1
3254,猾,3254,3621,huá,1
3255,砚,3255,3622,yàn,1
3256,蔗,3256,3623,zhè,1
3257,缎,3257,3624,duàn,1
3258,晦,3258,3625,huì,1
3259,叼,3259,3626,diāo,1
3260,隘,3260,3627,ài,1
3262,脓,3262,3628,nóng,1
3263,酵,3263,3629,jiào,1
3264,撬,3264,3630,qiào,1
3265,弛,3265,3631,chí,1
3266,袄,3266,3632,ǎo,1
3267,搀,3267,3633,chān,1
3268,鸥,3268,3634,ōu,1
3269,撮,3269,3635,cuō,1
3269,撮,3269,3636,zuǒ,2
3270,簸,3270,3637,bǒ,1
3270,簸,3270,3638,bò,2
3271,倔,3271,3639,juè,1
3272,忱,3272,3640,chén,1
3273,禀,3273,3641,bǐng,1
3275,镐,3275,3642,gǎo,1
3275,镐,3275,3643,hào,2
3276,瞳,3276,3644,tóng,1
3277,毡,3277,3645,zhān,1
3278,贻,3278,3646,yí,1
3279,瘟,3279,3647,wēn,1
3280,缤,3280,3648,bīn,1
3281,陨,3281,3649,yǔn,1
3282,晾,3282,3650,liàng,1
3283,唧,3283,3651,jī,1
3284,睬,3284,3652,cǎi,1
3285,酣,3285,3653,hān,1
3286,芥,3286,3654,jiè,1
3287,庶,3287,3655,shù,1
3288,巅,3288,3656,diān,1
3289,圃,3289,3657,pǔ,1
3290,篡,3290,3658,cuàn,1
3291,耘,3291,3659,yún,1
3292,渲,3292,3660,xuàn,1
3294,祟,3294,3661,suì,1
3295,侥,3295,3662,jiǎo,1
3296,褒,3296,3663,bāo,1
3297,芋,3297,3664,yù,1
3299,镀,3299,3665,dù,1
3300,羚,3300,3666,líng,1
3301,徙,3301,3667,xǐ,1
3302,埂,3302,3668,gěng,1
3303,锚,3303,3669,máo,1
3304,赘,3304,3670,zhuì,1
3305,羹,3305,3671,gēng,1
3306,瓢,3306,3672,piáo,1
3307,茉,3307,3673,mò,1
3308,鲤,3308,3674,lǐ,1
3309,笙,3309,3675,shēng,1
3310,惰,3310,3676,duò,1
3311,捶,3311,3677,chuí,1
3312,脐,3312,3678,qí,1
3313,惦,3313,3679,diàn,1
3314,惋,3314,3680,wǎn,1
3316,忿,3316,3681,fèn,1
3317,鹊,3317,3682,què,1
3318,幌,3318,3683,huǎng,1
3319,掰,3319,3684,bāi,1
3320,淆,3320,3685,xiáo,1
3321,恬,3321,3686,tián,1
3322,褥,3322,3687,rù,1
3323,灸,3323,3688,jiǔ,1
3324,戊,3324,3689,wù,1
3325,痊,3325,3690,quán,1
3326,羔,3326,3691,gāo,1
3327,檀,3327,3692,tán,1
3328,迂,3328,3693,yū,1
3330,藕,3330,3694,ǒu,1
3331,屹,3331,3695,yì,1
3332,秆,3332,3696,gǎn,1
3335,拗,3335,3697,niù,1
3335,拗,3335,3698,ào,2
3336,坯,3336,3699,pī,1
3337,垢,3337,3700,gòu,1
3339,漱,3339,3701,shù,1
3341,骡,3341,3702,luó,1
3342,鬓,3342,3703,bìn,1
3343,箫,3343,3704,xiāo,1
3344,驮,3344,3705,tuó,1
3344,驮,3344,3706,duò,2
3345,憔,3345,3707,qiáo,1
3346,跷,3346,3708,qiāo,1
3348,蚌,3348,3709,bàng,1
3350,馋,3350,3710,chán,1
3351,瘪,3351,3711,biě,1
3351,瘪,3351,3712,biē,2
3352,赡,3352,3713,shàn,1
3353,蜗,3353,3714,wō,1
3354,诲,3354,3715,huì,1
3355,椭,3355,3716,tuǒ,1
3356,蠕,3356,3717,rú,1
3357,樟,3357,3718,zhāng,1
3358,涧,3358,3719,jiàn,1
3359,秸,3359,3720,jiē,1
3360,蜕,3360,3721,tuì,1
3361,隅,3361,3722,yú,1
3362,谤,3362,3723,bàng,1
3363,粱,3363,3724,liáng,1
3364,疟,3364,3725,nüè,1
3364,疟,3364,3726,yào,2
3365,殃,3365,3727,yāng,1
3366,囱,3366,3728,cōng,1
3367,峦,3367,3729,luán,1
3368,抠,3368,3730,kōu,1
3369,萤,3369,3731,yíng,1
3370,鳖,3370,3732,biē,1
3371,蜒,3371,3733,yán,1
3372,涮,3372,3734,shuàn,1
3373,蝗,3373,3735,huáng,1
3374,锰,3374,3736,měng,1
3375,啄,3375,3737,zhuó,1
3376,偎,3376,3738,wēi,1
3377,霎,3377,3739,shà,1
3378,跺,3378,3740,duò,1
3379,砾,3379,3741,lì,1
3380,螃,3380,3742,páng,1
3381,酗,3381,3743,xù,1
3382,糯,3382,3744,nuò,1
3383,甥,3383,3745,shēng,1
3384,吝,3384,3746,lìn,1
3385,挎,3385,3747,kuà,1
3386,痢,3386,3748,lì,1
3387,椿,3387,3749,chūn,1
3388,宦,3388,3750,huàn,1
3389,蛾,3389,3751,é,1
3390,吠,3390,3752,fèi,1
3391,掂,3391,3753,diān,1
3392,梆,3392,3754,bāng,1
3393,荤,3393,3755,hūn,1
3394,馍,3394,3756,mó,1
3395,匕,3395,3757,bǐ,1
3398,帚,3398,3758,zhǒu,1
3399,恃,3399,3759,shì,1
3400,迢,3400,3760,tiáo,1
3401,瘸,3401,3761,qué,1
3402,咄,3402,3762,duō,1
3403,鸳,3403,3763,yuān,1
3404,蹋,3404,3764,tà,1
3405,纫,3405,3765,rèn,1
3406,搔,3406,3766,sāo,1
3407,诽,3407,3767,fěi,1
3408,冗,3408,3768,rǒng,1
3410,镰,3410,3769,lián,1
3411,腋,3411,3770,yè,1
3412,抡,3412,3771,lūn,1
3412,抡,3412,3772,lún,2
3413,吮,3413,3773,shǔn,1
3414,囤,3414,3774,tún,1
3414,囤,3414,3775,dùn,2
3415,锹,3415,3776,qiāo,1
3416,唆,3416,3777,suō,1
3417,戌,3417,3778,xū,1
3419,撵,3419,3779,niǎn,1
3420,雹,3420,3780,báo,1
3421,拄,3421,3781,zhǔ,1
3422,涣,3422,3782,huàn,1
3423,苞,3423,3783,bāo,1
3425,垛,3425,3784,duò,1
3425,垛,3425,3785,duǒ,2
3427,汞,3427,3786,gǒng,1
3428,狞,3428,3787,níng,1
3429,揩,3429,3788,kāi,1
3431,捺,3431,3789,nà,1
3432,篓,3432,3790,lǒu,1
3433,佃,3433,3791,diàn,1
3433,佃,3433,3792,tián,2
3434,谚,3434,3793,yàn,1
3435,夯,3435,3794,hāng,1
3435,夯,3435,3795,bèn,2
3436,贰,3436,3796,èr,1
3437,肛,3437,3797,gāng,1
3438,臼,3438,3798,jiù,1
3439,耙,3439,3799,pá,1
3439,耙,3439,3800,bà,2
3441,巳,3441,3801,sì,1
3442,糠,3442,3802,kāng,1
3443,卯,3443,3803,mǎo,1
3444,铛,3444,3804,chēng,1
3445,缰,3445,3805,jiāng,1
3446,馏,3446,3806,liù,1
3446,馏,3446,3807,liú,2
3447,箕,3447,3808,jī,1
3448,蚓,3448,3809,yǐn,1
3449,捻,3449,3810,niǎn,1
3450,筏,3450,3811,fá,1
3451,泞,3451,3812,nìng,1
3452,跛,3452,3813,bǒ,1
3453,蚯,3453,3814,qiū,1
3454,鲫,3454,3815,jì,1
3455,蛀,3455,3816,zhù,1
3457,酉,3457,3817,yǒu,1
3458,蹂,3458,3818,róu,1
3459,蚤,3459,3819,zǎo,1
3460,馁,3460,3820,něi,1
3461,盹,3461,3821,dǔn,1
3462,舀,3462,3822,yǎo,1
3464,鳍,3464,3823,qí,1
3466,玷,3466,3824,diàn,1
3467,讹,3467,3825,é,1
3468,癣,3468,3826,xuǎn,1
3470,韭,3470,3827,jiǔ,1
3472,藐,3472,3828,miǎo,1
3473,箩,3473,3829,luó,1
3474,臊,3474,3830,sào,1
3474,臊,3474,3831,sāo,2
3475,唁,3475,3832,yàn,1
3476,茁,3476,3833,zhuó,1
3477,壬,3477,3834,rén,1
3478,壹,3478,3835,yī,1
3479,蟋,3479,3836,xī,1
3480,叁,3480,3837,sān,1
3481,榔,3481,3838,láng,1
3483,狰,3483,3839,zhēng,1
3484,谆,3484,3840,zhūn,1
3485,闰,3485,3841,rùn,1
3486,嘹,3486,3842,liáo,1
3487,玖,3487,3843,jiǔ,1
3488,癸,3488,3844,guǐ,1
3489,猬,3489,3845,wèi,1
3490,矾,3490,3846,fán,1
3491,瞭,3491,3847,liào,1
3493,蝌,3493,3848,kē,1
3494,蜈,3494,3849,wú,1
3496,豺,3496,3850,chái,1
3497,瓤,3497,3851,ráng,1
3498,捌,3498,3852,bā,1
3499,誊,3499,3853,téng,1
3500,柒,3500,3854,qī,1
