rank,sn,cihui,ref_cihui,ref_sn
15011,1,松树,松,1
15092,1,胡须,胡子,1
15173,1,拱手,拱,1
15239,1,建构,建立,2
15319,1,白银,银,1
15413,1,喝醉,醉,1
15476,1,蛋清,蛋白,1
15538,1,转口,改口,1
15697,1,评述,述评,1
15697,2,评述,述评,2
15732,1,火炮,炮,1
15738,1,一水儿,一色,2
15840,1,把子,把,1
15923,2,抽水,抽头,1
15923,3,抽水,缩水,1
15979,1,折断,折,1
16035,1,底子,底,1
16035,5,底子,底,5
16035,6,底子,底,6
16069,1,森严,威严,1
16110,2,回音,回信,2
16177,1,妹子,妹,1
16202,1,应考,应试,1
16439,2,作难,为难,1
16439,3,作难,为难,2
16484,1,爬行,爬,1
16740,1,先人,祖先,1
16768,1,知心,知己,1
16787,1,称谓,称呼,2
16894,2,套房,套间,1
16944,2,推倒,推翻,3
16963,2,牌号,牌,4
17085,1,尖子,尖,2
17124,1,一朝,一旦,2
17137,1,盾牌,盾,1
17159,1,假说,假设,2
17655,1,低矮,低,1
17703,2,绝地,绝境,2
17740,2,转载,过载,2
17764,1,总称,统称,1
17764,2,总称,统称,2
17909,1,通路,通道,1
17973,1,驹子,驹,2
17995,1,管子,管,3
17996,2,正道,正路,2
18027,1,拍打,拍,1
18088,1,玉石,玉,1
18092,1,自若,自如,1
18095,1,星辰,星,1
18129,1,肾脏,肾,1
18142,1,背负,背,1
18167,2,急迫,急促,1
18201,1,痛楚,痛苦,1
18229,1,上体,上身,1
18348,1,迎头,迎面,1
18470,1,插嘴,插话,1
18489,1,足本,全本,2
18498,1,大雁,鸿雁,1
18550,1,去除,除去,1
18688,1,大舞台,舞台,2
18737,1,上房,正房,1
18898,1,庙宇,庙,2
18904,1,私家,私人,1
18932,2,砖头,砖,1
18942,1,征兆,预兆,2
18947,1,贮藏,储藏,1
18947,2,贮藏,储藏,2
19032,3,摆弄,摆布,2
19034,1,萌生,萌发,2
19067,4,题名,题目,1
19189,1,冲刷,冲洗,1
19191,1,圆圈,圈子,1
19200,1,柜子,柜,1
19255,1,极致,顶点,1
19396,2,生灵,生命,2
19579,1,任由,任凭,1
19579,2,任由,任凭,2
19611,1,集子,集,2
19648,1,婆子,婆,1
19700,2,飘荡,漂泊,2
19903,2,小丑,小人,2
19950,1,转瞬,转眼,2
19975,1,脸面,脸,1