rank,cihui,pinyin,raw_html
5013,的士,dīshì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>的士</x-hw><x-pr> dīshì</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 taxi 音译<x-f>。</x-f></x-etym>出租汽车①<x-f>。</x-f></dt>
"
5269,包袱,bāofu,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>包袱</x-hw><x-pr> bāofu</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>包裹衣物等用的布<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><x-g>名</x-g> 包有衣物等的布包<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>手上拎着一个<x-key>包袱</x-key><x-f>。</x-f></x-ex></dd>
<dt><x-sn>③</x-sn><x-g>名</x-g> 比喻精神上的压力或负担<x-f>。</x-f></dt><dd><x-ex>顾虑重重，<x-key>包袱</x-key>沉重<x-f>。</x-f></x-ex></dd>
<dt><x-sn>④</x-sn><x-g>名</x-g> 指相声等曲艺中的笑料<x-f>。</x-f></dt><dd><x-ex>抖<x-key>包袱</x-key>（把笑料说出来）<x-f>。</x-f></x-ex></dd>
"
5385,欧佩克,ōupèikè,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>欧佩克</x-hw><x-pr> ōupèikè</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语缩写 OPEC 音译<x-f>。</x-f></x-etym>石油输出国组织。成立于1960年9月14日，成员国有伊朗、伊拉克、科威特、沙特阿拉伯、委内瑞拉等。它的宗旨是协调和统一各成员国的石油政策和策略，以维护各自和共同的利益<x-f>。</x-f></dt>
"
5466,说不定,shuōbudìng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>说不定</x-hw><x-pr> shuōbudìng</x-pr>
<dt><x-sn>①</x-sn><x-gram>动</x-gram>说不确切<x-f>。</x-f></dt><dd><x-ex>他来不来，现在还<x-key>说不定</x-key><x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn> <x-g>副</x-g> 可能；没准<x-er>儿</x-er><x-f>。</x-f><dd><x-ex><x-key>说不定</x-key>哪一天他会突然回来<x-f>。</x-f></x-ex></dd>
"
5844,小子,xiǎozi,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>小子</x-hw><x-pr> xiǎozǐ</x-pr>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>年幼的人<x-f>。</x-f></dt><dd><x-ex>后生<x-key>小子</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><x-g>名</x-g> 长辈对晚辈的称呼或晚辈在长辈面前的自称<x-f>。</x-f></dt><dd><x-ex><x-key>小子</x-key>前来听训</x-ex><x-ex><x-lb> | </x-lb><x-key>小子</x-key>不才，请前辈指教<x-f>。</x-f></x-ex></dd></dt><hr><dt class='title'><x-hw>小子</x-hw><x-pr> xiǎozi</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>〈口〉儿子<x-f>。</x-f></dt><dd><x-ex>我有一个闺女，一个<x-key>小子</x-key><x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn><x-g>名</x-g> 〈口〉泛指男孩<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>生了个胖<x-key>小子</x-key></x-ex></dd>
<dt><x-sn>③</x-sn><x-g>名</x-g> 对人的蔑称<x-f>。</x-f></dt><dd><x-ex>这<x-key>小子</x-key>真不是个东西!</x-ex></dd>
"
5854,方程,fāngchéng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>方程</x-hw><x-pr> fāngchéng</x-pr>
<dt><x-gram>名</x-gram>数学上指含有未知数的等式。如x+2＝5，x-1＝y+3<x-f>。</x-f>（也说方程式<x-f>。</x-f>）
"
6045,耶稣,yēsū,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>耶稣</x-hw><x-pr> yēsū</x-pr>
<dt><x-gram>名</x-gram><x-etym>拉丁语 Jesus 音译<x-f>。</x-f></x-etym>基督教信奉的救世主，也称基督。《新约全书》说他是天主（上帝）的儿子，为救世人而降生于世。因在犹太各地传教而触怒犹太教统治者，被钉死在十字架上，死后复活升天<x-f>。</x-f></dt>
"
6234,纳米,nàmǐ,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>纳米</x-hw><x-pr> nàmǐ</x-pr>
<dt><x-gram>量</x-gram><x-etym>英语 nanometer 音译<x-f>。</x-f></x-etym>长度计量单位。1纳米是10-9米<x-f>。</x-f>
"
6370,成份,chéngfèn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>成份</x-hw><x-pr> chéngfèn</x-pr>
<dt>现在规范词形写作“<a href=""entry://成分"" type=""normalized"">成分</a>”<x-f>。</x-f>
"
6498,雷达,léidá,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>雷达</x-hw><x-pr> léidá</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 radar 音译<x-f>。</x-f></x-etym>利用电磁波反射原理来探测目标位置、距离、运动速率和方向的装置。广泛应用于军事、天文、气象、航海、航空和航天等领域<x-f>。</x-f></dt>
"
6682,因特网,yīntèwǎng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>因特网</x-hw><x-pr> yīntèwǎng</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 Internet 音意合译<x-f>。</x-f></x-etym>目前全球最大的由众多计算机网络互联而成的开放性网络。由美国的阿帕（ARPA）网发展演变而来<x-f>。</x-f></dt>
"
6798,一味,yīwèi,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>一味</x-hw><x-pr> yīwèi</x-pr>
<dt><x-gram>副</x-gram>单纯地；一个劲<x-er>儿</x-er>地<x-f>。</x-f><dd><x-ex><x-key>一味</x-key>地蛮干</x-ex></dd>
"
6976,纳粹,nàcuì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>纳粹</x-hw><x-pr> nàcuì</x-pr>
<dt><x-gram>名</x-gram><x-etym>德语缩写词 Nazi 音译<x-f>。</x-f></x-etym>即德意志民族社会主义工人党，第一次世界大战后希特勒在德国建立的法西斯主义政党<x-f>。</x-f></dt>
"
6990,星星,xīngxīng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>星星</x-hw><x-pr> xīngxing</x-pr>
<dt><x-gram>名</x-gram>星①<x-f>。</x-f></dt></dt><hr><dt class='title'><x-hw>星星</x-hw><x-pr> xīngxīng</x-pr>
<dt><x-gram>名</x-gram>比喻细小的、分散的点<x-er>儿</x-er>或别的东西<x-f>。</x-f><dd><x-ex><x-key>星星</x-key>之火，可以燎原<x-f>。</x-f></x-ex></dd>
"
7285,做工,zuògōng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>做工</x-hw><x-pr> zuògōng</x-pr>
<dt><x-sn>①</x-sn><x-gram>动</x-gram>从事体力劳动；干活<x-er>儿</x-er><x-f>。</x-f>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>名</x-g>指制作的工艺<x-f>。</x-f></dt><dd><x-ex>这套家具<x-key>做工</x-key>精巧<x-f>。</x-f></x-ex></dd>
<dt><x-sn>③</x-sn>见“<a href=""entry://做功"" type=""see"">做功</a>”<x-f>。</x-f>现在一般写作“做功”<x-f>。</x-f></dt>
"
7452,瓦斯,wǎsī,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>瓦斯</x-hw><x-pr> wǎsī</x-pr>
<dt><x-gram>名</x-gram>日语借词，源自荷兰语 gas 音译。气体，特指煤气、沼气等可燃气体<x-f>。</x-f></dt>
"
7469,精盐,jīngyán,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>精盐</x-hw><x-pr> jīngyán</x-pr>
<dt><x-gram>名</x-gram>经过加工，除去杂质的细末<x-er>儿</x-er>状食盐<x-f>。</x-f>
"
7562,福尔摩斯,fú'ěrmósī,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>福尔摩斯</x-hw><x-pr> fú'ěrmósī</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 Holmes 音译<x-f>。</x-f></x-etym>英国作家柯南道尔所著侦探小说《福尔摩斯探案集》中的主人公；借指侦探家<x-f>。</x-f></dt>
"
7642,大年,dànián,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>大年</x-hw><x-pr> dànián</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>收成好的年头<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>今年的苹果是<x-key>大年</x-key>，结的果特别多<x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn><x-g>名</x-g> 农历十二月有30天的年份<x-f>。</x-f></dt>
<dt><x-sn>③</x-sn><x-g>名</x-g> 指春节<x-f>。</x-f></dt><dd><x-ex><x-key>大年</x-key>初一</x-ex></dd>
"
7680,脱颖而出,tuōyǐng'érchū,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>脱颖而出</x-hw><x-pr> tuōyǐng'érchū</x-pr>
<dt>《史记·平原君虞卿列传》记载：战国时秦兵攻赵，平原君奉命赴楚求救，一个叫毛遂的人自荐愿往。平原君说，有才华的人在众人之中，就像锥子在布袋里一样，尖<x-er>儿</x-er>立刻显露出来。你到我门下已经三年，却默默无闻，怕担当不了这个重任吧!毛遂说：“使遂蚤（早）得处囊中，乃颖脱而出，非特其末见而已。”意思是，如果能把我毛遂早放到布袋里去的话，那露出来的就不只是锥子的尖<x-er>儿</x-er>，恐怕连锥把<x-er>儿</x-er>上面的环<x-er>儿</x-er>也露出来了（颖：这里指锥子把<x-er>儿</x-er>上箍着的环<x-er>儿</x-er>）。后用“脱颖而出”比喻优秀人才崭露头角<x-f>。</x-f>
"
7757,稍有,shāoyǒu,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>稍有</x-hw><x-pr> shāoyǒu</x-pr>
<dt><x-gram>动</x-gram>略微有一点<x-er>儿</x-er><x-f>。</x-f><dd><x-ex><x-key>稍有</x-key>不慎，就出大错<x-f>。</x-f></x-ex></dd>
"
7782,宝贝,bǎobèi,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>宝贝</x-hw><x-pr> bǎobèi</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>珍稀的物品<x-f>。</x-f></dt><dd><x-ex>这幅古画是他的<x-key>宝贝</x-key><x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn><x-g>名</x-g> 对小孩<x-er>儿</x-er>的昵称<x-f>。</x-f><dd><x-ex><x-key>宝贝</x-key><x-er>儿</x-er>，该起床了!</x-ex></dd>
<dt><x-sn>③</x-sn><x-g>名</x-g> 对无能或荒唐的人的讥称<x-f>。</x-f></dt><dd><x-ex>我们单位那个<x-key>宝贝</x-key>，整天游手好闲<x-f>。</x-f></x-ex></dd>
"
7949,马拉松,mǎlāsōng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>马拉松</x-hw><x-pr> mǎlāsōng</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram><x-etym>英语 marathon 音译<x-f>。</x-f></x-etym>指马拉松赛跑<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn>区别比喻耗时很长的（含贬义）<x-f>。</x-f></dt><dd><x-ex><x-key>马拉松</x-key>工程</x-ex><x-ex><x-lb> | </x-lb><x-key>马拉松</x-key>报告</x-ex></dd>
"
8110,站立,zhànlì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>站立</x-hw><x-pr> zhànlì</x-pr>
<dt><x-gram>动</x-gram>站1①<x-f>。</x-f><dd><x-ex><x-key>站立</x-key>在领奖台上</x-ex></dd>
"
8124,那末,nàme,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>那末</x-hw><x-pr> nàme</x-pr>
<dt>现在规范词形写作“<a href=""entry://那么"" type=""normalized"">那么</a>”<x-f>。</x-f>
"
8142,公式,gōngshì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>公式</x-hw><x-pr> gōngshì</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>用数学符号或文字表示各个量之间关系的式子。它具有普遍性，适用于同类关系的所有问题。如表示圆面积S和半径r之间关系的公式是S＝πr2<x-f>。</x-f>
<dt><x-sn>②</x-sn><x-g>名</x-g> 泛指经过概括的对于同类事物普遍适用的方式、方法<x-f>。</x-f></dt><dd><x-ex>“团结—批评—团结”是正确处理人民内部矛盾的<x-key>公式</x-key><x-f>。</x-f></x-ex></dd>
"
8319,巴士,bāshì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>巴士</x-hw><x-pr> bāshì</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 bus 音译<x-f>。</x-f></x-etym>公共汽车；泛指大型客车<x-f>。</x-f></dt>
"
8539,书信,shūxìn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>书信</x-hw><x-pr> shūxìn</x-pr>
<dt><x-gram>名</x-gram>信1⑥（多用于书面）<x-f>。</x-f><dd><x-ex><x-key>书信</x-key>往来</x-ex></dd>
"
8861,下地,xiàdì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>下地</x-hw><x-pr> xiàdì</x-pr>
<dt><x-sn>①</x-sn><x-gram>动</x-gram>到田间（干活<x-er>儿</x-er>）<x-f>。</x-f><dd><x-ex>天刚亮就<x-key>下地</x-key>了</x-ex></dd>
<dt><x-sn>②</x-sn><x-g>动</x-g> 病人开始从床上下来活动<x-f>。</x-f></dt><dd><x-ex>病见好，能<x-key>下地</x-key>了<x-f>。</x-f></x-ex></dd>
<dt><x-sn>③</x-sn><x-g>动</x-g> 婴儿出世；幼儿开始能在地面行走<x-f>。</x-f></dt><dd><x-ex>一岁的孩子，该<x-key>下地</x-key>了<x-f>。</x-f></x-ex></dd>
"
8871,亚当,yàdāng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>亚当</x-hw><x-pr> yàdāng</x-pr><br><x-gram>名</x-gram><x-etym>希伯来语 ādhām 音译<x-f>。</x-f></x-etym>《圣经》中所说的人类的始祖，是上帝按自己的形象用泥土造的第一个男人<x-f>。</x-f></dt>
"
8926,可乐,kělè,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>可乐</x-hw><x-pr> kělè</x-pr>
<dt><x-sn>①</x-sn><x-gram>形</x-gram>使人开心<x-f>。</x-f></dt><dd><x-ex>这孩子净闹傻样，真<x-key>可乐</x-key><x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>名</x-g><x-etym>英语 cola 音译<x-f>。</x-f></x-etym>小乔木，一年开花结果两次，种子含可可碱和咖啡碱，可制作饮料<x-f>。</x-f></dt>
<dt><x-sn>③</x-sn><x-g>名</x-g> 一种用可乐果树的籽实为原料加工配制而成的棕色饮料。含二氧化碳，不含酒精。如可口可乐、百事可乐<x-f>。</x-f></dt>
"
8961,好莱坞,hǎoláiwù,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>好莱坞</x-hw><x-pr> hǎoláiwù</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 Hollywood 音译<x-f>。</x-f></x-etym>原为地名，在美国加利福尼亚州洛杉矶市的西北郊。1908年在这里拍摄了故事影片《基度山恩仇记》后，这里逐渐成为美国电影制片业的中心，并成为美国电影业的同义语<x-f>。</x-f></dt>
"
9212,相见,xiāngjiàn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>相见</x-hw><x-pr> xiāngjiàn</x-pr>
<dt><x-gram>动</x-gram>见面<dd><x-ex>母女多年未<x-key>相见</x-key></x-ex></dd>
"
9379,伊斯兰教,yīsīlánjiào,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>伊斯兰教</x-hw><x-pr> yīsīlánjiào</x-pr>
<dt><x-gram>名</x-gram>世界三大宗教之一。公元7世纪初阿拉伯人穆罕默德创立的一神教，信奉安拉，以《古兰经》为经典。盛行于亚洲西部、非洲北部。唐代（7世纪中叶）传入我国，是我国回、维吾尔、哈萨克等少数民族信奉的宗教<x-f>（</x-f>伊斯兰：阿拉伯语Islām音译<x-f>）</x-f>。我国以前也说清真教、回教<x-f>。</x-f>
"
9495,蜡烛,làzhú,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>蜡烛</x-hw><x-pr> làzhú</x-pr>
<dt><x-gram>名</x-gram>用蜡或其他油脂制成的照明用品，多为圆柱形，中心有捻<x-er>儿</x-er>，可以点燃<x-f>。</x-f>
"
9785,星火,xīnghuǒ,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>星火</x-hw><x-pr> xīnghuǒ</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>火星<x-er>儿</x-er><x-f>。</x-f><dd><x-ex><x-key>星火</x-key>飞溅</x-ex></dd>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>名</x-g>流星瞬间发出的光（多用于比喻）<x-f>。</x-f></dt><dd><x-ex>急如<x-key>星火</x-key></x-ex></dd>
"
9961,马达,mǎdá,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>马达</x-hw><x-pr> mǎdá</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 motor 音译<x-f>。</x-f></x-etym>电动机<x-f>。</x-f></dt>
"
9983,洁白,jiébái,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>洁白</x-hw><x-pr> jiébái</x-pr>
<dt><x-sn>①</x-sn><x-gram>形</x-gram>纯白，没有一点<x-er>儿</x-er>杂色<x-f>。</x-f><dd><x-ex><x-key>洁白</x-key>的婚纱</x-ex></dd>
<dt><x-sn>②</x-sn> <x-g>形</x-g> 纯洁<x-f>。</x-f></dt><dd><x-ex>心地<x-key>洁白</x-key></x-ex></dd>
"
