rank,hanzi,pinyin,raw_html
5530,唛,mài,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>唛</x-hw><x-pr> mài</x-pr>（嘜）
<dt><x-gram>名</x-gram><x-etym>英语 mark 音译<x-f>。</x-f></x-etym>某些地区指进出口货物的包装上所做的标记，内容包括批号、件号、抵运港口、目的地、收货人、生产国名及地名、合同号码、货名、数量等；也指商标<x-f>。</x-f></dt>（也说唛头<x-f>。</x-f>）
"
5594,踟,chí,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>踟</x-hw><x-pr> chí</x-pr>
<dt>见下。<a href=""entry://踟躇"">踟躇</a><x-f>，</x-f><a href=""entry://踟蹰"">踟蹰</a><x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>不读 zhī<x-f>。</x-f></t-note>
"
5652,颛,zhuān,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>颛</x-hw><x-pr> zhuān</x-pr>（顓）
<dt>见下。<a href=""entry://颛孙"">颛孙</a><x-f>，</x-f><a href=""entry://颛顼"">颛顼</a><x-f>。</x-f>
"
5692,鹁,bó,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>鹁</x-hw><x-pr> bó</x-pr>（鵓）
<dt>见下。<a href=""entry://鹁鸽"">鹁鸽</a><x-f>，</x-f><a href=""entry://鹁鸪"">鹁鸪</a><x-f>。</x-f>
"
5743,狷,juàn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>狷</x-hw><x-pr> juàn</x-pr>（*獧）
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>形</x-gram>急躁；偏激<x-f>。</x-f></dt><dd><x-ex><x-key>狷</x-key>急</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>形</x-g>耿直<x-f>。</x-f></dt><dd><x-ex><x-key>狷</x-key>直</x-ex></dd>
"
5828,蒟,jǔ,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>蒟</x-hw><x-pr> jǔ</x-pr>
<dt>见下。<a href=""entry://蒟酱"">蒟酱</a><x-f>，</x-f><a href=""entry://蒟蒻"">蒟蒻</a><x-f>。</x-f>
"
5880,蚍,pí,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>蚍</x-hw><x-pr> pí</x-pr>
<dt>见下。<a href=""entry://蚍蜉"">蚍蜉</a><x-f>，</x-f><a href=""entry://蚍蜉撼树"">蚍蜉撼树</a><x-f>。</x-f>
"
5935,胼,pián,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>胼</x-hw><x-pr> pián</x-pr>
<dt>见下。<a href=""entry://胼手胝足"">胼手胝足</a><x-f>，</x-f><a href=""entry://胼胝"">胼胝</a><x-f>，</x-f><a href=""entry://胼胝体"">胼胝体</a><x-f>。</x-f>
"
6001,珐,fà,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>珐</x-hw><x-pr> fà</x-pr>（*琺）
<dt>见下。<a href=""entry://珐琅"">珐琅</a><x-f>，</x-f><a href=""entry://珐琅质"">珐琅质</a><x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>不读 fǎ<x-f>。</x-f></t-note>
"
6008,醵,jù,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>醵</x-hw><x-pr> jù</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>动</x-gram>凑钱聚饮<x-f>。</x-f></dt><dd><x-ex>共<x-key>醵</x-key>为筵</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>动</x-g>凑钱；集资<x-f>。</x-f></dt><dd><x-ex><x-key>醵</x-key>资八千</x-ex></dd>
"
6029,畛,zhěn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>畛</x-hw><x-pr> zhěn</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>田间小路<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>界限<x-f>。</x-f></dt><dd><x-ex><x-key>畛</x-key>域</x-ex></dd>
"
6052,圬,wū,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>圬</x-hw><x-pr> wū</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>抹（mǒ）子<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>动</x-g>抹（mò）平或粉刷<x-f>。</x-f></dt><dd><x-ex>粪土之墙，不可<x-key>圬</x-key>也<x-f>。</x-f></x-ex></dd>
"
6115,戬,jiǎn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>戬</x-hw><x-pr> jiǎn</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>动</x-gram>除掉；消灭<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>名</x-g>福；吉祥<x-f>。</x-f></dt><dd><x-ex>人生大<x-key>戬</x-key></x-ex></dd>
"
6130,镘,màn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>镘</x-hw><x-pr> màn</x-pr>（鏝）
<dt><x-sn>①</x-sn><x-gram>名</x-gram>〈文〉抹子（mǒzi），往墙上抹（mò）泥、灰的工具<x-f>。</x-f></dt><dd><x-ex>泥<x-key>镘</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>名</x-g>镘<x-er>儿</x-er>，金属钱币上没有币名的一面。有币名的一面叫“字<x-er>儿</x-er>”<x-f>。</x-f>
"
6176,眚,shěng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>眚</x-hw><x-pr> shěng</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>动</x-gram>眼球上长白翳<x-f>。</x-f></dt><dd><x-ex>目<x-key>眚</x-key>眼花</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>过失<x-f>。</x-f></dt><dd><x-ex>不以一<x-key>眚</x-key>掩大德</x-ex></dd>
"
6191,眇,miǎo,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>眇</x-hw><x-pr> miǎo</x-pr>（*𦕈）
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>动</x-gram>本指一只眼睛失明；后也指两只眼睛失明<x-f>。</x-f></dt><dd><x-ex>目<x-key>眇</x-key>耳聋</x-ex></dd>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>形</x-g>小；微小<x-f>。</x-f></dt><dd><x-ex><x-key>眇</x-key>然一粟</x-ex></dd>
"
6197,曈,tóng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>曈</x-hw><x-pr> tóng</x-pr>
<dt>见下。<a href=""entry://曈昽"">曈昽</a><x-f>，</x-f><a href=""entry://曈曈"">曈曈</a><x-f>。</x-f>
"
6245,虼,gè,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>虼</x-hw><x-pr> gè</x-pr>
<dt>见下。<a href=""entry://虼螂"">虼螂</a><x-f>，</x-f><a href=""entry://虼蚤"">虼蚤</a><x-f>。</x-f>
"
6263,耨,nòu,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>耨</x-hw><x-pr> nòu</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>除草用的农具，形状像锄<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>动</x-g>除草<x-f>。</x-f></dt><dd><x-ex>深耕细<x-key>耨</x-key></x-ex></dd>
<dt><x-lb>用法说明</x-lb>见“<a href=""entry://辱"" type=""see"">辱</a>”<x-f>。</x-f>
"
6282,怛,dá,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>怛</x-hw><x-pr> dá</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>形</x-gram>痛苦；忧伤<x-f>。</x-f></dt><dd><x-ex>惨<x-key>怛</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>动</x-g>惊恐；畏惧<x-f>。</x-f></dt>
"
6288,墀,chí,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>墀</x-hw><x-pr> chí</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>台阶上的地面<x-f>。</x-f></dt><dd><x-ex>阶<x-key>墀</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>泛指台阶<x-f>。</x-f></dt><dd><x-ex>丹<x-key>墀</x-key></x-ex></dd>
"
6299,圉,yǔ,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>圉</x-hw><x-pr> yǔ</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>动</x-gram>养马<x-f>。</x-f></dt><dd><x-ex><x-key>圉</x-key>人（负责养马的人）<x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>养马的地方<x-f>。</x-f></dt><dd><x-ex>圈（juàn）<x-key>圉</x-key><x-f>。</x-f></x-ex></dd>
"
6350,菹,zū,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>菹</x-hw><x-pr> zū</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>酸菜<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>动</x-g>切碎（菜、肉）<x-f>。</x-f></dt><dd><x-ex><x-key>菹</x-key>醢（hǎi）（古代把人剁成肉酱的酷刑）<x-f>。</x-f></x-ex></dd>
"
6388,氘,dāo,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>氘</x-hw><x-pr> dāo</x-pr>
<dt><x-gram>名</x-gram>氢的同位素之一，符号D或21H。它的原子核（氘核）能参与多种热核反应<x-f>。</x-f>（也说重氢<x-f>。</x-f>）
"
6422,氚,chuān,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>氚</x-hw><x-pr> chuān</x-pr>
<dt><x-gram>名</x-gram>氢的同位素之一，符号T或31H，质量数为3。自然界中存量极小，有放射性，主要用于热核反应<x-f>。</x-f>（也说超重氢<x-f>。</x-f>）
"
6442,楗,jiàn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>楗</x-hw><x-pr> jiàn</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>竖着插在门闩上防止左右滑动的木棍<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>河工在堤岸所竖的桩柱，它的作用是把埽（sào）固定住；篱笆的桩柱<x-f>。</x-f></dt><dd><x-ex>修缮堤<x-key>楗</x-key></x-ex></dd>
"
6446,絷,zhí,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>絷</x-hw><x-pr> zhí</x-pr>（縶）
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>动</x-gram>拴住马脚<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>动</x-g>捆；绑<x-f>。</x-f></dt><dd><x-ex><x-key>絷</x-key>足</x-ex></dd>
<dt><x-sn>③</x-sn><x-g>动</x-g> 拘禁<x-f>。</x-f></dt><dd><x-ex>幽<x-key>絷</x-key></x-ex></dd>
<dt><x-sn>④</x-sn><sbl>→</sbl><x-g>名</x-g>用来拴住或绊住马腿的绳子<x-f>。</x-f></dt>
"
6451,庀,pǐ,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>庀</x-hw><x-pr> pǐ</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>动</x-gram>准备<x-f>。</x-f></dt><dd><x-ex>鸠工<x-key>庀</x-key>料（聚集工匠，准备材料）<x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>动</x-g>办理；治理<x-f>。</x-f></dt>
"
6457,瘌,là,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>瘌</x-hw><x-pr> là</x-pr>
<dt>见下。<a href=""entry://瘌痢"">瘌痢</a><x-f>，</x-f><a href=""entry://瘌痢头"">瘌痢头</a><x-f>。</x-f>
"
6482,媵,yìng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>媵</x-hw><x-pr> yìng</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>动</x-gram>陪送女儿出嫁<x-f>。</x-f></dt><dd><x-ex>以<x-key>媵</x-key>秦穆姬</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>陪嫁的人<x-f>。</x-f></dt><dd><x-ex>以宫中善歌讴者为<x-key>媵</x-key><x-f>。</x-f></x-ex></dd>
<dt><x-sn>③</x-sn><sbl>→</sbl><x-g>名</x-g>妾<x-f>。</x-f></dt>
"
6510,孥,nú,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>孥</x-hw><x-pr> nú</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>儿女<x-f>。</x-f></dt><dd><x-ex>妻<x-key>孥</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>妻子和儿女<x-f>。</x-f></dt><dd><x-ex>刑不及<x-key>孥</x-key></x-ex></dd>
"
6538,屣,sóng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>屣</x-hw><x-pr> sóng</x-pr>（屣）
<dt>〈口〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>精液<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>形</x-g>讽刺人性格懦弱<x-f>。</x-f></dt><dd><x-ex>这家伙真</x-ex></dd></dt><hr><dt class='title'><x-hw>屣</x-hw><x-pr> xǐ</x-pr>
<dt>〈文〉<x-gram>名</x-gram>鞋<x-f>。</x-f></dt><dd><x-ex>敝<x-key>屣</x-key>（比喻废物）<x-f>。</x-f></x-ex></dd>
"
6545,扃,jiōng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>扃</x-hw><x-pr> jiōng</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>从外面关门用的门闩、门环等<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>门<x-f>。</x-f></dt>
<dt><x-sn>③</x-sn><sbl>→</sbl><x-g>动</x-g>关门；上闩<x-f>。</x-f></dt>
"
6569,掎,jǐ,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>掎</x-hw><x-pr> jǐ</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>动</x-gram>拖住；拉住<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>动</x-g>牵制<x-f>。</x-f></dt><dd><x-ex>成<x-key>掎</x-key>角之势</x-ex></dd>
"
6572,耰,yōu,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>耰</x-hw><x-pr> yōu</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>农具，形状像木槌，用来碎土平地<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>动</x-g>播种以后用耰平土盖种<x-f>。</x-f></dt><dd><x-ex><x-key>耰</x-key>而不辍</x-ex></dd>
"
6595,铚,zhì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>铚</x-hw><x-pr> zhì</x-pr>（銍）
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>短镰刀<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>动</x-g>用镰刀割（谷物）<x-f>。</x-f></dt><dd><x-ex><x-key>铚</x-key>艾（zhìyì，收割）<x-f>。</x-f></x-ex></dd>
"
6674,怃,wǔ,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>怃</x-hw><x-pr> wǔ</x-pr>（憮）
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>动</x-gram>爱抚<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>形</x-g>失意<x-f>。</x-f></dt><dd><x-ex><x-key>怃</x-key>然</x-ex></dd>
"
6679,泚,cǐ,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>泚</x-hw><x-pr> cǐ</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>形</x-gram>（水）清澈<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>动</x-g>出汗<x-f>。</x-f></dt>
<dt><x-sn>③</x-sn><sbl2>○</sbl2><x-g>动</x-g>（用笔）蘸墨<x-f>。</x-f></dt><dd><x-ex><x-key>泚</x-key>笔</x-ex></dd>
"
6686,瘭,biāo,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>瘭</x-hw><x-pr> biāo</x-pr>瘭疽<x-pr> biāojū</x-pr> <x-g>名</x-g> 
<dt>手指肚<x-er>儿</x-er>或脚趾肚<x-er>儿</x-er>红肿化脓、剧烈疼痛的病症<x-f>。</x-f>
"
6687,眢,yuān,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>眢</x-hw><x-pr> yuān</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>形</x-gram>眼睛干瘪失明<x-f>。</x-f></dt><dd><x-ex>目<x-key>眢</x-key>血裂</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>形</x-g>枯干无水<x-f>。</x-f></dt><dd><x-ex><x-key>眢</x-key>井</x-ex></dd>
"
6717,铗,jiá,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>铗</x-hw><x-pr> jiá</x-pr>（鋏）
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>夹东西的钳形金属工具<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>名</x-g>剑；剑柄<x-f>。</x-f></dt><dd><x-ex>长<x-key>铗</x-key></x-ex></dd>
"
6755,锧,zhì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>锧</x-hw><x-pr> zhì</x-pr>（鑕）
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>铁砧<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>腰斩犯人所用刑具的垫座<x-f>。</x-f></dt><dd><x-ex>斧<x-key>锧</x-key></x-ex></dd>
"
