hanzi,pinyin,definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img,ref_pinyin_id,pos
电视,diàn shì,553511,55351,1,"利用无线电波传送物体影像的装置。由发射台把实物的影像变成电能信号传播出去,电视机把收到的信号再变成影像映在荧光屏上。电视除了用在文化娱乐和教育方面外,也广泛地用在其他技术和军事方面。","television; TV; facility for transmitting visual images via radio wave. The launch pad transmits images in electric signals, which are converted back into images on the screen of a television set. Television is used extensively in military and other technologies, as well as for cultural, entertainment and educational purposes.",,,名词
东西,dōng xī,553721,55372,1,东边和西边。,east and west,,,名词
明天,míng tiān,558211,55821,1,今天的下一天。,tomorrow,,,名词
朋友,péng you,559111,55911,1,彼此有交情的人。,friend,,,名词
先生,xiān sheng,563311,56331,1,老师。,teacher,,,名词
先生,xiān sheng,563312,56331,2,对知识分子的称呼。,(of intellectuals) Mister (Mr.); gentleman; sir,,,名词
先生,xiān sheng,563314,56331,4,〈方dial.〉医生。,doctor,,,名词
星期,xīng qī,564111,56411,1,"中国古代历法把二十八宿按日、月、火、水、木、金、土的次序排列,七日一周,周而复始,称为‘七曜’;西洋历法中也有‘七日为一周’的说法,跟中国的‘七曜’暗合。后来根据国际习惯,把这样连续排列的七天作为工作学习等作息日期的计算单位,叫做星期。","week. In the ancient Chinese calendar, the 28 constellations are arranged in the order of the sun(日rì), the moon(月yuè), fire or the Mars(火huǒ), water or the Mercury(水shuǐ), wood or the Jupiter(木mù), metal or the Venus(金jīn) and earth or the Saturn(土tǔ) in a seven-day cycle dubbed ‘seven stars’, which coincides with the ‘seven-day week’ in the Western calendar. Thus the seven-day period becomes a measurement unit for work, study and rest according to the international practice, and it is called ‘week’.",,,名词
怎么样,zěn me yàng,565511,56551,1,怎样。,how about; what about,,,代词
弟弟,dì di,568311,56831,1,同父母(或只同父、只同母)而年纪比自己小的男子。,younger brother; younger half-brother,,,名词
哥哥,gē ge,569111,56911,1,同父母(或只同父、只同母)而年纪比自己大的男子。,elder brother (having the same parents or parent),,,名词
姐姐,jiě jie,570711,57071,1,同父母(或只同父、只同母)而年纪比自己大的女子。,elder sister; older girl or woman having the same parents or parent,,,名词
妹妹,mèi mei,573011,57301,1,同父母(或只同父、只同母)而年纪比自己小的女子。,younger sister of the same parent(s),,,名词
便宜,pián yi,573721,57372,1,价钱低。,cheap; at a bargain price,,,形容词
时间,shí jiān,574911,57491,1,"物质存在的一种客观形式,由过去、现在、将来构成的连绵不断的系统。是物质的运动、变化的持续性、顺序性的表现。","time; objective form in which matter exists, a continuous system composed of the past, present and future, which shows the nature of continuity and sequence in the movements and changes of matter",,,名词
运动,yùn dòng,579121,57912,1,"物体的位置不断变化的现象。通常指一个物体和其他物体之间相对位置的变化,说某物体运动常是对另一物体而言。","motion; movement; continuous change of location of an object, usu. referring to the change of location of a certain object in relation to others",,,名词
运动,yùn dòng,579122,57912,2,"指宇宙间所发生的一切变化和过程,从简单的位置变动到复杂的人类思维,都是物质运动的表现。","motion; movement; all changes and processes in the universe, from simple change in location to complex human thought processes",,,名词
阿姨,ā yí,580711,58071,1,〈方dial.〉母亲的姐妹。,aunt; mother's sister,,,名词
锻炼,duàn liàn,586911,58691,1,指锻造或冶炼。,forge; smelt; temper,,,动词
检查,jiǎn chá,591812,59181,2,翻检查考(书籍、文件等)。,"look over and study (books, documents, etc.)",,,动词
街道,jiē dào,592711,59271,1,旁边有房屋的比较宽阔的道路。,street,,,名词
太阳,tài yáng,601511,60151,1,银河系的恒星之一，是一炽热的气体球，体积是地球的130万倍，质量是地球的33.34万倍，表面温度约6000℃，内部温度约1500万℃，内部经常不断地进行原子核反应而产生大量的热能。太阳是太阳系的中心天体，距地球约1.5亿公里。地球和其他行星都围绕着它旋转并且从它得到光和热。,"sun; a fixed star in the Galaxy, a fiery gaseous ball 1.3 million times the size of the earth, with a mass 333,400 times that of the earth, a surface temperature of approximately 6,000℃ and an interior temperature of about 15 million ℃, releasing mammoth amounts of heat through constant nuclear reaction within it. The earth, approximately 150 million km. from the sun, revolves along with other planets around the sun, the centre of the solar system, and receives light and heat from it.",,,名词
文化,wén huà,603611,60361,1,"人类在社会历史发展过程中所创造的物质财富和精神财富的总和,特指精神财富,如文学、艺术、教育、科学等。","civilization; culture; sum total of the material wealth and cultural wealth created by man in the course of the historical development of society, cultural wealth in particular, such as literature, arts, education, and science, etc.",,,名词
文化,wén huà,603612,60361,2,"考古学用语,指同一个历史时期的不依分布地点为转移的遗迹、遗物的综合体。同样的工具、用具,同样的制造技术等,是同一种文化的特征,如仰韶文化、龙山文化。","(of archaeology) comprehensive body of sites and ruins left behind, which are independent of their locations, in a given historical period. Identical tools, implements and manufacturing skills, etc. are characteristics of the same culture, as the Yangshao culture and the Longshan culture.",,,名词
游戏,yóu xì,607411,60741,1,"娱乐活动,如捉迷藏、猜灯谜等。某些非正式比赛项目的体育活动如康乐球等也叫游戏。","recreation; game; entertainment activities, such as hide-and-seek and guessing riddles. Some non-competition sports, such as caroms, are also called 游戏yóuxì.",,,名词
成熟,chéng shú,614311,61431,1,"植物的果实等完全长成,泛指生物体发育到完备的阶段。",(of fruit) be ripe; (in a broad sense) (of creatures) mature; grow to maturity,,,形容词
肚子,dù zi,618621,61862,1,腹的通称。,belly; abdomen,,,名词
感觉,gǎn jué,622411,62241,1,"客观事物的个别特性在人脑中引起的反应,如苹果作用于我们的感官时,通过视觉可以感到它的颜色,通过味觉可以感到它的味道。感觉是最简单的心理过程,是形成各种复杂心理过程的基础。","sense; perception; sensation; mental process precipitated by physical stimulation, based on which various complex psychological processes ensue, e.g. when an apple acts on the sense organs, its colour can be seen and its fragrance smelt",,,名词
工具,gōng jù,623211,62321,1,"进行生产劳动时所使用的器具,如锯、刨、犁、锄。","tool, instrument, implements of production, e.g. saw, digger, plough, hoe, etc.",,,名词
关键,guān jiàn,624311,62431,1,门闩或功能类似门闩的东西。,door bolt; door bar,,,名词
广播,guǎng bō,624711,62471,1,"广播电台、电视台发射无线电波,播送节目。有线电播送节目也叫广播。",(of a radio or television station) transmit programmes by sending out radio waves; wired radio programmes; broadcast; be on the air,,,名词
基础,jī chǔ,628011,62801,1,建筑物的根脚。,foundation of a building,,,名词
交通,jiāo tōng,630612,63061,2,各种运输和邮电事业的总称。,"general term for transportation, postal and telecommunications services",,,名词
交通,jiāo tōng,630613,63061,3,抗日战争和解放战争时期指通信和联络工作。,(in the War of Resistance against Japan and the War of Liberation) communication; liaison,,,名词
交通,jiāo tōng,630614,63061,4,指交通员。,liaison man; underground messenger,,,名词
教育,jiào yù,631011,63101,1,"培养新生一代准备从事社会生活的整个过程,主要是指学校对儿童、少年、青年进行培养的过程。","education; schooling; education of the younger generation for future participation in social life, primarily referring to instruction given to children, teenagers and youths in educational institutions",,,名词
经济,jīng jì,632111,63211,1,经济学上指社会物质生产和再生产的活动。,economy; term in economics denoting the activities of material production and reproduction of a society,,,名词
科学,kē xué,633711,63371,1,反映自然、社会、思维等的客观规律的分科的知识体系。,"science; branch of knowledge reflecting systematized observation of nature, society, or ways of thinking",,,名词
空气,kōng qì,634311,63431,1,"构成地球周围大气的气体。无色,无味,主要成分是氮气和氧气,还有极少量的氡、氦、氖、氩、氪、氙等惰性气体和水蒸气、二氧化碳等。","air; mixture of invisible, colourless, and odourless gases (e.g. nitrogen, oxygen, vapour, carbon dioxide, plus a small quantity of inert gases including radon, helium, neon, argon, krypton, and xenon) that surrounds the earth",,,名词
老虎,lǎo hǔ,635711,63571,1,虎的通称。,general term for 虎hǔ,,,名词
老虎,lǎo hǔ,635713,63571,3,指有大量贪污、盗窃或偷漏税行为的人。,"person who has committed embezzlement, theft or tax evasion on a large scale",,,名词
判断,pàn duàn,640111,64011,1,"思维的基本形式之一,就是肯定或否定某种事物的存在,或指明它是否具有某种属性的思维过程。在形式逻辑上用一个命题表达出来。","judge; basic form of thinking, i.e., the process of thinking to confirm or negate the existence of sth. or determine if it possesses certain property, expressed as a proposition in formal logic",,,名词
皮肤,pí fū,640411,64041,1,"身体表面包在肌肉外部的组织,人和高等动物的皮肤由表皮、真皮和皮下组织三层组成,有保护身体、调节体温、排泄废物等作用。","skin; tissue covering the muscles of a human or higher animal body, composed of epidermis, dermis, and subcutaneous tissue, the function of which is to protect the body, adjust the body temperature, and sweat out impurities",,,名词
起飞,qǐ fēi,641511,64151,1,(飞机、火箭等)开始飞行。,(of aircraft; rocket; etc.) take off,,,动词
气候,qì hòu,641711,64171,1,一定地区里经过多年观察所得到的概括性的气象情况。它与气流、纬度、海拔高度、地形等有关。,"climate; meteorological conditions of a particular region, having to do with air currents, latitude, altitude and topography, defined on the basis of many years of careful observation",,,名词
师傅,shī fu,646511,64651,1,工、商、戏剧等行业中传授技艺的人。,"master who gives instructions in any industrial or business trade, or opera, etc.",,,名词
数字,shù zì,648711,64871,1,"表示数目的文字。汉字的数字有小写大写两种,‘一二三四五六七八九十’等是小写,‘壹贰叁肆伍陆柒捌玖拾’等是大写。","written characters that denote amounts. Numbers in Chinese characters are classified as ordinary and capital forms, i.e. 一二三四五六七八九十 are ordinary forms of 1, 2, 3, 4, 5, 6, 7, 8, 9 and 10, and 壹贰叁肆伍陆柒捌玖拾 are the capital forms.",,,名词
数字,shù zì,648712,64871,2,"表示数目的符号,如阿拉伯数字、苏州码子。","numeral; figure; digit; symbols that denote numbers, e.g. Arabic numerals, Suzhou numerals, etc.",,,名词
速度,sù dù,649511,64951,1,运动物体在某一个方向上单位时间内所通过的距离。,speed; velocity; rate of time at which sth. moves or operates,,,名词
文章,wén zhāng,653411,65341,1,篇幅不很长的单篇作品。,a piece of short writing; essay; article,,,名词
文章,wén zhāng,653412,65341,2,泛指著作。,(in a broad sense) literary works; writings,,,名词
消息,xiāo xi,655211,65521,1,关于人或事物情况的报道。,news; information; report or coverage of a person or an event,,,名词
兴奋,xīng fèn,656111,65611,1,振奋;激动。,be excited,,,形容词
兴奋,xīng fèn,656112,65611,2,"大脑皮层的两种基本神经活动过程之一,是在外部或内部刺激之下产生的。兴奋引起或增强皮层和相应器官机能的活动状态,如肌肉的收缩、腺体的分泌等。","excitation; one of two basic processes of activity of the cerebral cortex resulting from external or internal stimulation. Excitation causes or increases the activity of the functions of the cortex and the corresponding organs, as contraction of the muscles and secretion of glands.",,,名词
压力,yā lì,657011,65701,1,物体所承受的与表面垂直的作用力。,pressure; force applied uniformly over a surface,,,名词
艺术,yì shù,659011,65901,1,"用形象来反映现实但比现实有典型性的社会意识形态,包括文学、绘画、雕塑、建筑、音乐、舞蹈、戏剧、电影、曲艺等。","art; social ideology reflecting reality through images and being more typical than reality, including literature, painting, sculpture, architecture, music, dancing, drama, movie, etc.",,,名词
语法,yǔ fǎ,661111,66111,1,"语言的结构方式,包括词的构成和变化、词组和句子的组织。","grammar; branch of the study of language that deals with forms and structure of words, with their customary arrangement in phrases and sentences",,,名词
语言,yǔ yán,661211,66121,1,"人类所特有的用来表达意思、交流思想的工具,是一种特殊的社会现象,由语音、词汇和语法构成一定的系统。‘语言’一般包括它的书面形式,但在与‘文字’并举时只指口语。","language; tool peculiar to mankind, used for expression and communication of thoughts and feelings, which is a special social phenomenon and has a particular system consisting of speech sounds, vocabulary and grammar. 语言 generally includes the written form, but only refers to the spoken language when used together with 文字(written language).",,,名词
知识,zhī shi,664111,66411,1,人们在改造世界的实践中所获得的认识和经验的总和。,knowledge; facts and experiences acquired by people in their practice to transform the objective world,,,名词
职业,zhí yè,664411,66441,1,个人在社会中所从事的作为主要生活来源的工作。,occupation; profession; vocation; a person's regular work or profession; job or principal activity as the means of livelihood,,,名词
质量,zhì liàng,665111,66511,1,"量度物体惯性大小的物理量。数值上等于物体所受外力和它获得的加速度的比值。有时也指物体中所含物质的量。质量是常量,不因高度或纬度变化而改变。","physical capacity measuring a body's inertia, equal to the ratio of an outside force upon a body to changes in the speed; also the quantity of matter a body contains. The mass of a body is a constant, and not changed by altitude or latitude.",,,名词
重点,zhòng diǎn,665311,66531,1,阻力点的旧称。,old name for 阻力点 zǔlìdiǎn,,,名词
组织,zǔ zhī,667214,66721,4,"机体中构成器官的单位,是由许多形态和功能相同的细胞按一定的方式结合而成的。人和高等动物体内有上皮组织、结缔组织、肌肉组织和神经组织。","tissue; substance of an organic body or organ, consisting of cells and intercellular material in the same form and with the same function, as epithelial tissue, connective tissue, muscle tissue and nerve tissue in humans and other higher animals",,,名词
保险,bǎo xiǎn,670211,67021,1,"集中分散的社会资金,补偿因自然灾害、意外事故或人身伤亡而造成的损失的方法。参加保险的人或单位,向保险机构按期缴纳一定数量的费用,保险机构对在保险责任范围内所受的损失负赔偿责任。","insurance; system for pooling scattered social resources to compensate people for losses caused by natural disasters, accidents, personal injuries or death. The insured individual or organization pays a regular premium, and the insurance company is responsible for indemnifying them for losses within the specified contingencies.",,,名词
背景,bèi jǐng,670711,67071,1,"舞台上或电影、电视剧里的布景。放在后面,衬托前景。","stage setting; backdrop; scenery; setting or scenery on a stage or for a film or TV series, placed at the rear to set off the foreground",,,名词
背景,bèi jǐng,670712,67071,2,图画、摄影里衬托主体事物的景物。,background to a picture or photograph that sets off the main subject,,,名词
标点,biāo diǎn,672311,67231,1,标点符号。,punctuation mark,,,名词
玻璃,bō lí,673111,67311,1,"一种质地硬而脆的透明物体。一般用石英砂、石灰石、纯碱等混合后,在高温下熔化、成型、冷却后制成。主要成分是二氧化硅、氧化钠和氧化钙。","glass; hard and brittle transparent material, usu. made from quartzite, limestone and soda ash, the mixture of which is melted, fused and shaped under high temperatures and then cooled down, its main elements being silica, sodium oxide and calcium oxide",,,名词
测验,cè yàn,676211,67621,1,用仪器或其他办法检验。,test; prove by means of instruments or other methods,,,动词
翅膀,chì bǎng,680211,68021,1,翅的通称。,popular term for 翅(chì),,,名词
抽象,chōu xiàng,680911,68091,1,"从许多事物中,舍弃个别的、非本质的属性,抽出共同的、本质的属性,叫抽象,是形成概念的必要手段。",draw on common nature or essence of a number of things and abandon their individual and non-essential property in order to formulate a concept,,,形容词
出口,chū kǒu,681312,68131,2,(船只)驶出港口。,(of a ship) depart from the port,,,动词
传染,chuán rǎn,682311,68231,1,"病原体侵入生物体,使生物体产生病理反应,叫做传染。有明显症状的叫显性传染,无明显症状的叫隐性传染。","infect; contagion; pathological reaction of an organic body to the invasion by a pathogen; known as dominant contagion when obvious symptoms occur, and as recessive contagion when no obvious symptoms occur",,,动词
刺激,cì jī,683311,68331,1,现实的物体和现象作用于感觉器官的过程;声、光、热等引起生物体活动或变化的作用。,"stimulation; stimulus; incitation; incitement; fillip; stimulation of sensory organs by material things and phenomena through which activity is evoked; sound, light, heat, etc., that produces a temporary increase of physiological activity in an organism or in any of its parts",,,动词
待遇,dài yù,685811,68581,1,对待(人)。,deal with a person,,,名词
单位,dān wèi,686311,68631,1,"计量事物的标准量的名称。如厘米为计算长度的单位,克为计算质量的单位,秒为计算时间的单位等。","amount or quantity taken as a standard of measurement, such as ‘centimetre’ as a unit of length, ‘gramme’ as a unit of weight, and ‘second' as a unit of time",,,名词
地理,dì lǐ,688712,68871,2,地理学。,geography,,,名词
独立,dú lì,690413,69041,3,"军队在编制上不隶属于高一级的单位而直接隶属于更高级的单位的,如不隶属于团而直接隶属于师的营叫独立营。","independent; (of a military unit) under direct command of a higher authority than its direct leadership, e.g. an independent battalion that is subordinate to a division instead of a regiment",,,形容词
反应,fǎn yìng,693411,69341,1,有机体受到体内或体外的刺激而引起的相应的活动。,reaction; action of an organism in response to interior or exterior stimuli,,,名词
反应,fǎn yìng,693412,69341,2,化学反应。,chemical reaction,,,名词
反应,fǎn yìng,693413,69341,3,打针或服药所引起的呕吐、发烧、头痛、腹痛等症状。,"symptom such as vomiting, fever, headache and stomach-ache as a reaction to injection or medication",,,名词
钢铁,gāng tiě,698211,69821,1,"钢和铁的合称,有时专指钢。",iron and steel; steel,,,名词
革命,gé mìng,699111,69911,1,"被压迫阶级用暴力夺取政权,摧毁旧的腐朽的社会制度,建立新的进步的社会制度。革命破坏旧的生产关系,建立新的生产关系,解放生产力,推动社会的发展。","revolution — the oppressed classes rise in revolt to seize power, destroy an old decadent social system and build a new advanced society. Revolution can destroy the old relations of production, build new ones, free up productivity, and promote the development of society.",,,名词
古典,gǔ diǎn,701711,70171,1,典故。,classical allusion; literary quotation,,,名词
骨头,gǔ tou,702111,70211,1,"人和脊椎动物体内支持身体、保护内脏的坚硬组织,主要成分是碳酸钙和磷酸钙。根据形状的不同,分为长骨、短骨、扁骨等。","bone; hard tissue in the body of a human being and vertebrate animals supporting the body and protecting the internal organs, its main composition being calcium carbonate and calcium phosphate; there being long bones, short bones and flat bones",,,名词
国籍,guó jí,705311,70531,1,指个人具有的属于某个国家的身份。,nationality; citizenship,,,名词
果实,guǒ shí,705411,70541,1,"植物体的一部分,花受精后,子房逐渐长大,成为果实。有些果实可供食用。","fruit; ripened reproductive body of a plant, developed from the ovary after the fecundation of the flower. Some fruits are edible.",,,名词
豪华,háo huá,706311,70631,1,(生活)过分铺张;奢侈。,luxurious (living); extravagant,,,形容词
呼吸,hū xī,707811,70781,1,"生物体与外界进行气体交换。人和高等动物用肺呼吸,低等动物靠皮肤呼吸,植物通过表面的组织进行气体交换。","breathe; respire. Organisms exchange air with the environment. Human beings and higher animals breathe through lungs, lower animals breathe through the skin, and plants breathe through their surface tissue.",,,动词
化学,huà xué,708811,70881,1,"研究物质的组成、结构、性质和变化规律的科学,是自然科学中的基础学科之一。","chemistry; one of the basic natural sciences, which deals with the composition, structure, properties and rules of change of substances",,,名词
黄金,huáng jīn,709511,70951,1,金的通称。,general term for 金1jīn ④,,,名词
价值,jià zhí,713311,71331,1,"体现在商品里的社会必要劳动。价值量的大小决定于生产这一商品所需的社会必要劳动时间的多少。不经过人类劳动加工的东西,如空气,即使对人们有使用价值,也不具有价值。","value; socially necessary labour embodied in a commodity, whose value is determined by the socially necessary labour and the time consumed in the production of it. A thing that consumes no human labour, such as air, has no value even if it has use value to the humans.",,,名词
角度,jiǎo dù,716111,71611,1,角的大小。通常用度或弧度来表示。,"angle; space between two straight lines or planes that intersect, measured in degrees or radians",,,名词
进口,jìn kǒu,718811,71881,1,(船只)驶进港口。,(of ships) sail into a port,,,动词
经典,jīng diǎn,719213,71921,3,泛指各宗教宣扬教义的根本性著作。,(in a broad sense) religious scriptures,,,名词
理论,lǐ lùn,725811,72581,1,人们由实践概括出来的关于自然界和社会的知识的有系统的结论。,theory; principle; systematic conclusion about the knowledge of nature and society drawn through practice,,,名词
零钱,líng qián,727911,72791,1,"币值小的钱,如角、分。","small change; change; money of small denominations, such as jiao and fen",,,名词
领域,lǐng yù,728311,72831,1,一个国家行使主权的区域。,territory; domain; realm; area in which a state exercises its sovereignty,,,名词
落后,luò hòu,729612,72961,2,"工作进度迟缓,落在原定计划的后面。",(of work) proceed slowly and fall behind schedule,,,形容词
馒头,mán tou,729911,72991,1,"一种用发酵的面粉蒸成的食品,一般上圆而下平,没有馅儿。",steamed bread made from raised dough with no filling usu. in a rounded cone shape,,,名词
毛病,máo bìng,730211,73021,1,指器物发生的损伤或故障,mishap; breakdown; blunder,,,名词
矛盾,máo dùn,730312,73031,2,辩证法上指客观事物和人类思维内部各个对立面之间的互相依赖而又互相排斥的关系。,(in dialectics) contradiction; interdependent yet conflicting relationship between the opposites in any objective thing or thought,,,名词
矛盾,máo dùn,730313,73031,3,形式逻辑中指两个概念互相排斥或两个判断不能同时是真也不能同时是假的关系。,"(in formal logic) contradiction between two opposing concepts, or the relationship between two propositions that cannot both be true or false at the same time",,,名词
民主,mín zhǔ,732211,73221,1,指人民有参与国事或对国事有自由发表意见的权利。,democracy; democratic rights; right of the people to participate in the state affairs and to air their views freely on the state affairs,,,名词
明星,míng xīng,732611,73261,1,古书上指金星。,Venus as described in ancient books,,,名词
疲劳,pí láo,737411,73741,1,因体力或脑力消耗过多而需要休息。,tired; in need of rest after being drained of physical strength and energy,,,形容词
品种,pǐn zhǒng,738011,73801,1,经过人工选择和培育、具有一定经济价值和共同遗传特点的一群生物体(通常指栽培植物、牲畜、家禽等)。,"breed; strain; group of organisms that are artificially selected and cultivated, have common inherited characteristics and are of commercial value, i.e. cultivated plants, livestock, and poultry",,,名词
平等,píng děng,738411,73841,1,指人们在社会、政治、经济、法律等方面享有相等待遇。,"(of people) enjoy equality in social status, politics, economy, law, etc.",,,名词
破产,pò chǎn,739011,73901,1,"债务人不能偿还债务时,法院根据本人或债权人的申请,做出裁定,把债务人的财产变价依法归还各债主,其不足之数不再偿付。","bankruptcy; judging of a court on the application of a person or his creditors when he is not able to repay his debt, according to which the debtor's properties are sold at current prices to repay the creditors and the rest of debt will not be repaid",,,动词
破坏,pò huài,739113,73911,3,变革(社会制度、风俗习惯等)。,"(of social systems, custom, etc.) change completely or violently",,,动词
燃烧,rán shāo,744411,74441,1,物质剧烈氧化而发光、发热。可燃物质和空气中的氧剧烈化合是最常见的燃烧现象。,"burn; cause to undergo combustion, the most common form of burning being the drastic chemical combination of a combustible matter with oxygen in the air",,,动词
人事,rén shì,745411,74541,1,人的离合、境遇、存亡等情况。,"occurrences in a person's life, such as partings and reunions, lot, subsistence and death, etc.",,,名词
舌头,shé tou,748511,74851,1,"辨别滋味、帮助咀嚼和发音的器官,在口腔底部,根部固定在口腔底上。","tongue; organ attached to the floor of the mouth, used in the ingestion of food, the perception of taste, and, in humans, the articulation of speech sounds",,,名词
神经,shén jīng,749711,74971,1,"把中枢神经系统的兴奋传递给各个器官,或把各个器官的兴奋传递给中枢神经系统的组织,是由许多神经纤维构成的。","nerve; tissues that transmit the excitation of the central nervous system to the organs or the excitation of the organs to the central nervous system, and consist of many nervous fibres",,,名词
实践,shí jiàn,751611,75161,1,实行(自己的主张);履行(自己的诺言)。,put (one's view) into practice; carry out (one's promise); implement,,,动词
实验,shí yàn,752011,75201,1,为了检验某种科学理论或假设而进行某种操作或从事某种活动。,experiment; test; engage in an operation or activity to test a scientific theory or hypothesis,,,名词
思想,sī xiǎng,755811,75581,1,"客观存在反映在人的意识中经过思维活动而产生的结果。思想的内容为社会制度的性质和人们的物质生活条件所决定,在阶级社会中,思想具有明显的阶级性。","thought; thinking; ideology; sequence of thought within objective existence as reflected in human consciousness. One's ideology being determined by the nature of the social system in which one lives and the conditions of his material life. For example, in a class society, a person's ideology is characterized by the social class he or she belongs to.",,,名词
台阶,tái jiē,757211,75721,1,"用砖、石、混凝土等筑成的一级一级供人上下的建筑物,多在大门前或坡道上","staircase; stairway built of bricks, masonry, or concrete at the front gate of a building or on a ramp",,,名词
太太,tài tai,757411,75741,1,〈旧时old〉通称官吏的妻子。,Madam; term of address for the wife of an official,,,名词
太太,tài tai,757412,75741,2,〈旧时old〉仆人等称女主人。,(term of address used by the servant for the mistress of a household) madam,,,名词
题目,tí mù,759011,75901,1,概括诗文或讲演内容的词句。,title; subject; topic,,,名词
挑战,tiǎo zhàn,760111,76011,1,"故意激怒敌人,使敌人出来打仗。",throw down the gauntlet; challenge; incite the enemy's anger on purpose to engage the enemy in a battle,,,动词
尾巴,wěi ba,764111,76411,1,"鸟、兽、虫、鱼等动物的身体末端突出的部分,主要作用是辅助运动、保持身体平衡等。","tail; posterior part of a bird, animal, insect, fish, etc., elongated and extending beyond the trunk or main part of the body, for aiding movement and keeping balance, etc.",,,名词
武器,wǔ qì,766411,76641,1,"直接用于杀伤敌人有生力量和破坏敌方作战设施的器械、装置,如刀、枪、火炮、导弹等。","weapon; arms; instrument or device of any kind used to injure or kill the effective forces of the enemy and destroy the enemy's war establishments, such as sabre, spear, fire gun, missile, etc.",,,名词
物质,wù zhì,766811,76681,1,独立存在于人的意识之外的客观实在。,matter; substance; objective being independent of the consciousness of man,,,名词
吸收,xī shōu,766911,76691,1,"物体把外界的某些物质吸到内部,如海绵吸收水,木炭吸收气体等。","absorb; imbibe; draw; suck up; take sth. in through pores or interstices, such as a sponge absorbing water, and charcoal absorbing gases",,,动词
吸收,xī shōu,766912,76691,2,"特指有机体把组织外部的物质吸到组织内部,如肠黏膜吸收养分,植物的根吸收水和无机盐等。","assimilate; metabolize constructively; transform (food) into living tissue by the process of anabolism, such as the intestinal mucous membrane assimilating nutrition, and the root of a plant drawing water and inorganic salt",,,动词
吸收,xī shōu,766913,76691,3,"物体使某些现象、作用减弱或消失,如弹簧吸收震动,隔音纸吸收声音等。","absorb; take in; moderate or offset certain phenomena or the impact of sth., such as a spring absorbing shock and sound-insulating paper taking in sound",,,动词
相对,xiāng duì,768711,76871,1,"指性质上互相对立,如大与小相对,美与丑相对。","opposite to each other, e.g. big is the opposite of small, and beauty the opposite of ugliness; face to face",,,形容词
消化,xiāo huà,770011,77001,1,"食物在人或动物体内,经过物理和化学作用而变为能够溶解于水并可以被机体吸收的养料。",digest food in human or animal body; (through physical and chemical functions) turn food into water-soluble nourishment to be absorbed by the body,,,动词
效率,xiào lǜ,770911,77091,1,"机械、电器等工作时,有用功在总功中所占的百分比。","(of machinery, electrical appliances, etc.) ratio of useful work to the total work performed",,,名词
心理,xīn lǐ,771411,77141,1,"人的头脑反映客观现实的过程,如感觉、知觉、思维、情绪等。","psychology; mentality; processes of reflecting objective reality by the human brains, such as feelings, consciousness, thoughts, emotions, etc.",,,名词
兄弟,xiōng di,773311,77331,1,弟弟。,younger brother,,,名词
兄弟,xiōng di,773312,77331,2,称呼年纪比自己小的男子(亲切口气)。,[familiar form of address for a man younger than oneself] brother,,,名词
意义,yì yì,777711,77771,1,语言文字或其他信号所表示的内容。,meaning; sense; significance,,,名词
义务,yì wù,777911,77791,1,"公民或法人按法律规定应尽的责任,例如服兵役(跟‘权利’相对as opposed to‘right’})。","duty; obligation; responsibility undertaken by a citizen or legal person according to law, such as serving in the army",,,名词
