hanzi,pinyin,definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img,ref_pinyin_id,pos
因素,yīn sù,778111,77811,1,构成事物本质的成分。,factor; elements that constitute the substance of a matter,,,名词
营养,yíng yǎng,778611,77861,1,有机体从外界吸取需要的物质来维持生长发育等生命活动的作用。,nourish; (of organisms) absorb needed substances from the outside to sustain and promote their vital activities for growth,,,名词
影子,yǐng zi,778812,77881,2,镜中、水面等反映出来的物体的形象。,reflection; image of an object reflected in a mirror or water surface,,,名词
主人,zhǔ rén,789211,78921,1,接待客人的人(跟‘客人’相对as opposed to‘guest’})。,host; one that receives guests,,,名词
主人,zhǔ rén,789212,78921,2,〈旧时old〉聘用家庭教师、账房等的人;雇用仆人的人。,"master; head of a household that hires private tutors, accountants, etc.; one who employs servants",,,名词
自由,zì yóu,792212,79221,2,"哲学上把人认识了事物发展的规律性,自觉地运用到实践中去,叫做自由。",(philos.) freedom; consciously apply the law of the development of things one knows in practice,,,名词
综合,zōng hé,792411,79241,1,把分析过的对象或现象的各个部分、各属性联合成一个统一的整体(跟‘分析’相对as opposed to‘analyse’})。,synthesize; form a whole by bringing together the separate parts and attributes of the analysed objects or phenomena,,,动词
总理,zǒng lǐ,792811,79281,1,中国国务院领导人的名称。,"premier, title of the leader of the State Council of China",,,名词
总理,zǒng lǐ,792812,79281,2,某些国家政府首脑的名称。,"prime minister, title of the head of government in some countries",,,名词
总理,zǒng lǐ,792813,79281,3,某些政党领导人的名称。,title of the leader of some political parties,,,名词
祖先,zǔ xiān,793511,79351,1,"一个民族或家族的上代,特指年代比较久远的。",ancestry; ancestors; forebears; forefathers,,,名词
把关,bǎ guān,796511,79651,1,把守关口。,guard a pass,,,动词
霸道,bà dào,796821,79682,1,中国古代政治哲学中指凭借武力、刑法、权势等进行统治的政策。,"in ancient times, political philosophy of rule by military force, penal laws and raw power",,,名词
包袱,bāo fu,798911,79891,1,包衣服等东西的布。,cloth-wrapper,,,名词
包袱,bāo fu,798912,79891,2,用布包起来的包儿。,bundle wrapped in a cloth,,,名词
包围,bāo wéi,799012,79901,2,"正面进攻的同时,向敌人的翼侧和后方进攻。",launch frontal attack and assault the enemy's flanks and rear at the same time,,,动词
饱和,bǎo hé,799211,79921,1,"在一定温度和压力下,溶液所含溶质的量达到最大限度,不能再溶解。",saturation; stage at which no more of a substance can be absorbed into a solution,,,形容词
报销,bào xiāo,801012,80101,2,把用坏作废的物件报告销账。,report damaged or rejected articles so they can be struck off the list,,,动词
爆发,bào fā,801112,80111,2,"通过外部冲突的形式而发生重大变化,例如用革命的手段来推翻旧政权,建立新政权。","break out; change greatly through external conflicts, e.g. use revolutionary measures to overthrow an old political power and establish a new one",,,动词
曝光,bào guāng,801311,80131,1,使照相底片或感光纸感光。,exposure; sensitization of negatives or sensitive paper,,,动词
暴力,bào lì,801411,80141,1,强制的力量;武力。,"violence, force",,,名词
本能,běn néng,802911,80291,1,"人类和动物不学就会的本领,如初生的婴儿会哭会吃奶,蜂酿蜜等都是本能的表现。","instinct; inborn ability of humans and animals, such as a baby's ability to cry and suckle at its mother's breast, and a bee's ability to make honey, which are not based on learning",,,名词
比重,bǐ zhòng,804311,80431,1,物质的重量和4℃时同体积纯水的重量的比值，叫做该物质的比重。,specific gravity; ratio of the weight of a given volume of a substance to that of the same volume of pure water at 4℃,,,名词
标本,biāo běn,807012,80701,2,"保持实物原样或经过加工整理,供学习、研究时参考用的动物、植物、矿物。","sample; specimen; animal, plant or ore kept in its original form as an example for research and study",,,名词
裁判,cái pàn,812711,81271,1,"法院依照法律,对案件做出的决定,分为判决和裁定两种。","adjudication; decision made by the court on a case according to the law, including the verdict and ruling",,,名词
裁判,cái pàn,812712,81271,2,"根据体育运动的竞赛规则,对运动员竞赛的成绩和竞赛中发生的问题做出评判。",referee; pass a judgement on the result of an athletic competition or contest and render a decision when dispute occurs in accordance with the rules of the game,,,动词
参谋,cān móu,813311,81331,1,军队中参与指挥部队行动、制定作战计划的干部。,staff officer whose job is to assist a commanding officer in directing the troops and making war plans,,,名词
产业,chǎn yè,816511,81651,1,土地、房屋、工厂等财产(多指私有的,oft. of private ownership,,,名词
场面,chǎng miàn,817511,81751,1,戏剧、电影、电视剧中由布景、音乐和登场人物组合成的景况。,"scene, composed of setting, music and characters on the stage in a play, film or drama",,,名词
场面,chǎng miàn,817512,81751,2,"叙事性文学作品中,由人物在一定场合相互发生关系而构成的生活情景。",scene in narrative literature brought about by the interaction between characters on a certain occasion,,,名词
场面,chǎng miàn,817513,81751,3,"指戏曲演出时伴奏的人员和乐器,分文武两种,管乐和弦乐是文场面,锣鼓是武场面","musical accompaniment (musicians and musical instruments) for a theatrical performance, including orchestral accompaniment and percussional accompaniment;",,,名词
潮流,cháo liú,818511,81851,1,由潮汐而引起的水流运动。,tide; tidal current,,,名词
沉淀,chén diàn,819011,81901,1,溶液中难溶解的物质沉到溶液底层。,precipitate; sediment; (of insoluble substances in solution) form a sediment at the bottom of a solution,,,动词
沉淀,chén diàn,819012,81901,2,沉到溶液底层的难溶解的物质。,sediment; insoluble substances at the bottom of solutions,,,名词
踌躇,chóu chú,823812,82381,2,停留。,sojourn,,,动词
代价,dài jià,831211,83121,1,获得某种东西所付出的钱。,money required in payment for a purchase,,,名词
冻结,dòng jié,838411,83841,1,液体遇冷凝结;使物体受冻凝结。,congeal; freeze; change or be changed from liquid to solid by cold,,,动词
动力,dòng lì,838911,83891,1,"使机械作功的各种作用力,如水力、风力、电力、畜力等。","power; motive power; force or energy that puts machinery to work, e.g. hydropower, wind power, electric power, livestock power, etc.",,,名词
动员,dòng yuán,839411,83941,1,"把国家的武装力量由和平状态转入战时状态,以及把所有的经济部门(工业、农业、运输业等)转入供应战争需要的工作。","mobilize; cause the armed forces to become ready for service and turn all economic sectors (i.e. industry, agriculture, transportation, etc.) to the needs of war",,,动词
对策,duì cè,841211,84121,1,古代应考的人回答皇帝所问关于治国的策略。,policies to be employed in running a state (in a candidate's answer to the emperor in the imperial examinations in ancient China),,,名词
对应,duì yìng,841811,84181,1,一个系统中某一项在性质、作用、位置或数量上跟另一系统中某一项相当。,"(in quality, function, position, quantity) corresponding; homologous",,,动词
发火,fā huǒ,843612,84361,2,子弹、炮弹的底火经撞击后火药爆发。,detonate; cause the gunpowder inside a bullet or shell to explode after its primer has been struck,,,动词
发火,fā huǒ,843613,84361,3,〈方dial.〉发生火警;失火。,catch fire; be on fire,,,动词
反馈,fǎn kuì,845511,84551,1,"把放大器的输出电路中的一部分能量送回输入电路中,以增强或减弱输入讯号的效应。增强输入讯号效应的叫正反馈;减弱输入讯号效应的叫负反馈。正反馈常用来产生振荡;负反馈能稳定放大,减少失真,因而广泛应用于放大器中。","feedback; process of returning part of the energy of the output circuit of an amplifier to the input circuit to boost the effects of input signals (positive feedback) or to weaken them (negative feedback). Positive feedback is oft. used to produce vibration, while negative feedback has been widely applied in amplifiers for its property of stabilizing amplification and reducing distortion.",,,名词
反馈,fǎn kuì,845512,84551,2,医学上指某些生理的或病理的效应反过来影响引起这种效应的原因。起增强作用的叫正反馈;起减弱作用的叫负反馈。,"feedback; physiological or pathological effects that conversely affect their causes, either boosting the effects (positive feedback) or weakening them (negative feedback)",,,名词
范畴,fàn chóu,846111,84611,1,"人的思维对客观事物的普遍本质的概括和反映。各门科学都有自己的一些基本范畴,如化合、分解等,是化学的范畴;商品价值、抽象劳动、具体劳动等,是政治经济学的范畴;本质和现象、形式和内容、必然性和偶然性等,是唯物辩证法的基本范畴。","category; summarization and reflection of human thoughts on the general nature of objective matters. Each science has its own basic categories. For example, chemical combination and decomposition are categories of chemistry; commodity value, abstract labour and concrete labour are categories of political economy; and nature and phenomenon, form and content, and necessity and contingency are categories of materialist dialectics.",,,名词
方位,fāng wèi,846411,84641,1,方向。东、南、西、北为基本方位;东北、东南、西北、西南为中间方位。,"directions; points of the compass, with east, west, north and south as the cardinal points, and northeast, southeast, northwest and southwest as mid-points",,,名词
飞跃,fēi yuè,847811,84781,1,"事物从旧质到新质的转化。由于事物性质的不同,飞跃有时通过爆发的方式来实现,有时通过新质要素的逐渐积累和旧质要素的逐渐消亡来实现。不同形式的飞跃都是质变。","leap; sudden transition; qualitative change from old properties to new ones, sometimes realized in an explosive way, and sometimes in a gradual way in which new properties accumulate and old ones wither away. In philosophy a leap, no matter what form it takes, entails a qualitative change.",,,动词
沸腾,fèi téng,848411,84841,1,"液体达到一定温度时急剧转化为气体的现象,这时液体发生汽化,产生气泡。","boil; bubble; phenomenon of the rapid transformation of a liquid into gas at a certain temperature, when the liquid is vaporized and bubbles appear",,,动词
分红,fēn hóng,848711,84871,1,指人民公社时期社员定期分配工分值。,(in the people's communes) periodical distribution of the cash value of workpoints to commune members,,,名词
分解,fēn jiě,848811,84881,1,"一个整体分成它的各个组成部分,例如物理学上力的分解,数学上因式的分解等。","(of a whole) separate into parts; break up; break down, e.g. in physics resolution of force, in mathematics, resolve into factors",,,动词
分解,fēn jiě,848812,84881,2,"一种物质经过化学反应而生成两种或两种以上其他物质,如碳酸钙加热分解成氧化钙和二氧化碳。","decompose; resolve; break up; split; (of a substance) break up into two or more substances through chemical reaction. For example, when heated, calcium carbonate breaks up into calcium oxide and carbon dioxide.",,,动词
风暴,fēng bào,849911,84991,1,刮大风而且往往同时有大雨的天气现象。,windstorm; storm; tempest,,,名词
封建,fēng jiàn,850611,85061,1,"一种政治制度,君主把土地分给宗室和功臣,让他们在这土地上建国。中国周代开始有这种制度,其后有些朝代也曾仿行。欧洲中世纪君主把土地分给亲信的人,形式跟中国古代封建相似,中国也把它叫做封建。","system of holding lands in fief; political system by which a sovereign grants land to royal clansmen and meritorious statesmen as fiefs. In China, the system began in the Zhou Dynasty and was followed by other dynasties. During the Middle Ages, European monarchs granted lands to trusted followers in a form similar to the system of enfeoffment in ancient China, and that is why Chinese historians also call that system 封建.",,,名词
负担,fù dān,853511,85351,1,承当(责任、工作、费用等)。,"bear; carry; shoulder (a responsibility, work, expense, etc.)",,,动词
附件,fù jiàn,853811,85381,1,随同主要文件一同制定的文件。,appendix; annex; side document drawn up at the same time as the primary one,,,名词
附件,fù jiàn,853812,85381,2,随同文件发出的有关的文件或物品。,other document or object distributed with the main document enclosed,,,名词
疙瘩,gē da,857011,85701,1,皮肤上突起的或肌肉上结成的硬块。,swelling on the skin; pimple; lump,,,名词
隔离,gé lí,857311,85731,1,"不让聚在一起,使断绝往来。",keep apart,,,动词
共鸣,gòng míng,861011,86101,1,"物体因共振而发声的现象,如两个频率相同的音叉靠近,其中一个振动发声时,另一个也会发声。","resonance; sound produced in an object by sound or vibrations of a similar frequency from another object. For example, when two tuning forks are brought close to each other, and if one of them is vibrating and emitting a sound, the other produces a sound as well.",,,名词
骨干,gǔ gàn,862311,86231,1,"长骨的中央部分,两端跟骨骺相连,里面是空腔。","diaphysis; shaft of a long bone with a cavity, linked with the epiphysis at both ends;",,,名词
关照,guān zhào,863212,86321,2,"互相照应,全面安排。",look after each other and make an overall arrangement,,,动词
光彩,guāng cǎi,864011,86401,1,颜色和光泽;光辉,colour and lustre; splendour; radiance; brilliance,,,名词
轨道,guǐ dào,865011,86501,1,用条形的钢材铺成的供火车、电车等行驶的路线。,"railroad; tram road; road composed of parallel steel rails providing a track for trains, trams, etc.",,,名词
轨道,guǐ dào,865012,86501,2,天体在宇宙间运行的路线。,orbit; path of a celestial body moving round another;,,,名词
轨道,guǐ dào,865013,86501,3,"物体运动的路线,多指有一定规则的,如原子内电子的运动和人造卫星的运行都有一定的轨道。","path; orbit; trajectory; route or course along which an object moves, oft. regularly, e.g. movement of an electron within an atom and that of a man-made satellite, both following a certain course",,,名词
航天,háng tiān,867411,86741,1,指人造卫星、宇宙飞船等在地球附近空间或太阳系空间飞行。,space flight; astronautic flight; flight of man-made satellite or spacecraft near the earth or within the solar system,,,名词
环节,huán jié,872911,87291,1,"某些低等动物如蚯蚓、蜈蚣等,身体由许多大小差不多的环状结构互相连接组成,这些结构叫做环节,能伸缩。","segment; connected extendible and contractible ring-like structures of similar sizes that form the body of some lower animals, such as earthworm and centipede",,,名词
回报,huí bào,873911,87391,1,报告(任务、使命等执行的情况)。,report back on what has been done,,,动词
机械,jī xiè,876911,87691,1,利用力学原理组成的各种装置。杠杆、滑轮、机器以及枪炮等都是机械。,"mechanism; installation made according to principles of mechanics, such as lever, pulley, machine, and arms",,,名词
家伙,jiā huo,880811,88081,1,指工具或武器。,tool; utensil; weapon,,,名词
尖端,jiān duān,882511,88251,1,尖锐的末梢;顶点。,pointed end; acme; peak,,,名词
焦点,jiāo diǎn,886111,88611,1,某些与椭圆、双曲线或抛物线有特殊关系的点。如椭圆的两个焦点到椭圆上任意一点的距离的和是一个常数。,"focal point; focus; point that has a special relationship with an ellipse, hyperbola or parabola. For example, the sum of the distances between either focal point of an ellipse and any point on the ellipse is constant.",,,名词
焦点,jiāo diǎn,886112,88611,2,平行光线经透镜折射或曲面镜反射后的会聚点。,focal point; focus; point at which parallel rays of light converge after being refracted through a lens or reflected from a concave mirror,,,名词
结晶,jié jīng,887611,88761,1,物质从液态(溶液或熔化状态)或气态形成晶体。,crystallize; (of substances) become crystal from a liquid or gaseous state,,,名词
解剖,jiě pōu,888211,88821,1,"为了研究人体或动植物体各器官的组织构造,用特制的刀、剪把人体或动植物体剖开。","dissect; cut open the body of a human being, animal or plant with special knives and scissors to study the tissue structure of organs inside",,,动词
解体,jiě tǐ,888411,88841,1,物体的结构分解。,(of an object) disintegrate,,,动词
境界,jìng jiè,892211,89221,1,土地的界限。,boundary,,,名词
咀嚼,jǔ jué,894311,89431,1,用牙齿磨碎食物。,"masticate; chew; crush, grind or gnaw with teeth",,,动词
客户,kè hù,898811,89881,1,〈旧时old〉指以租佃为生的人家。,tenant; farmer who makes a living by tilling the land for a landlord,,,名词
客户,kè hù,898812,89881,2,〈旧时old〉指外地迁来的住户。,non-native resident; immigrant,,,名词
喇叭,lǎ ba,902511,90251,1,"管乐器,上细下粗,最下端的口部向四周张开,可以扩大声音。",trumpet; wind instrument fashioned out of a curved brass tube with a narrow mouthpiece and an outspread wide end for amplifying the sound,,,名词
立场,lì chǎng,905111,90511,1,认识和处理问题时所处的地位和所抱的态度。,position; stand; standpoint,,,名词
立体,lì tǐ,905312,90531,2,几何体。,solid,,,名词
灵魂,líng hún,908211,90821,1,"迷信的人认为附在人的躯体上作为主宰的一种非物质的东西,灵魂离开躯体后人即死亡。","soul; immaterial spiritual entity believed by the superstitious to be coexistent with the physical body of a person and a dominant spiritual force, which leaves upon the person's death",,,名词
流氓,liú máng,909711,90971,1,"原指无业游民,后来指不务正业、为非作歹的人。","rogue; hooligan; hoodlum; ruffian; rascal; originally referring to a jobless riff-raff, later to a ne'er-do-well evil-doer",,,名词
论证,lùn zhèng,910811,91081,1,"逻辑学指引用论据来证明论题的真实性的论述过程,是由论据推出论题时所使用的推理形式。",(of logic) process of deduction that proves the truth of a proposition on the basis of evidence,,,名词
麻痹,má bì,911611,91161,1,神经系统的病变引起的身体某一部分知觉能力的丧失和运动机能的障碍。,"paralysis; loss or impairment of sensation or function in certain part of the human body, caused by disease of the nerves",,,名词
码头,mǎ tou,911911,91191,1,"在江河沿岸及港湾内,供停船时装卸货物和乘客上下的建筑。",wharf; dock; quay; pier; facility built parallel to the shoreline for loading and unloading freight and passengers,,,名词
迷信,mí xìn,915411,91541,1,信仰神仙鬼怪等。,"superstition; superstitious belief; belief in deities, immortals, ghosts, etc.",,,名词
面貌,miàn mào,916111,91611,1,脸的形状;相貌。,face; facial features; appearance,,,名词
沐浴,mù yù,919511,91951,1,洗澡。,have (or take) a bath,,,动词
内涵,nèi hán,920311,92031,1,"一个概念所反映的事物的本质属性的总和,也就是概念的内容。例如‘人’这个概念的内涵是能制造工具并使用工具进行劳动的动物。","intension; connotation; sum total of the essential properties of matter as reflected by a definition; content of a definition. For example, the connotation of the concept of ‘man’ is ‘the animal that can make and use tools to engage in physical labour’.",,,名词
屁股,pì gu,925311,92531,1,臀部。,buttocks (of humans); bottom; behind; backside,,,名词
平行,píng xíng,927612,92761,2,"两个平面或一个平面内的两条直线或一条直线与一个平面始终不能相交,叫做平行。","parallel; two straight lines on two planes, or on the same plane, or a straight line and a plane, that are equidistant and hence will never cross each other",,,形容词
气象,qì xiàng,932311,93231,1,"大气的状态和现象,例如刮风、闪电、打雷、结霜、下雪等。","meteorological phenomena, such as wind, lightning, thunder, frost, snow, etc.",,,名词
桥梁,qiáo liáng,934711,93471,1,架在水面上或空中以便行人、车辆等通行的建筑物。,"bridge; structure built across water or in the air to provide passage for pedestrians, vehicles, etc.",,,名词
渠道,qú dào,938511,93851,1,"在河湖或水库等的周围开挖的水道,用来引水排灌。","ditch (dug near a river, lake or reservoir for the purpose of irrigation); channel; trench",,,名词
人格,rén gé,941211,94121,1,人的性格、气质、能力等特征的总和。,"integration of a person's personality, temperament and ability, etc.",,,名词
三角,sān jiǎo,944411,94441,1,三角学的简称。,Abbr. for三角学sānjiǎoxué,,,名词
刹车,shā chē,945111,94511,1,用闸等止住车的行进。,stop a vehicle by applying the brakes; put on the brakes,,,动词
刹车,shā chē,945112,94511,2,"停止动力来源,使机器停止运转。",stop a machine by cutting off the power; turn off a machine,,,动词
筛选,shāi xuǎn,945311,94531,1,利用筛子进行选种、选矿等。,"use a sieve to select seeds, dress ore, etc.",,,动词
上游,shàng yóu,946311,94631,1,河流接近发源地的部分。,upper reaches (of a river),,,名词
渗透,shèn tòu,949111,94911,1,"两种气体或两种可以互相混合的液体,彼此通过多孔性的薄膜而混合。",osmosis; two gases or two liquids that can be mixed with each other pass through a porous membrane and mix together,,,动词
师范,shī fàn,951211,95121,1,师范学校的简称。,Abbr. for师范学校shīfàn xuéxiào,,,名词
视线,shì xiàn,955311,95531,1,"用眼睛看东西时,眼睛和物体之间的假想直线。",line of vision; view; line of sight (in surveying),,,名词
水利,shuǐ lì,958711,95871,1,利用水力资源和防止水的灾害。,water conservancy; prevent floods by taking advantage of hydraulic resources,,,名词
思维,sī wéi,959411,95941,1,"在表象、概念的基础上进行分析、综合、判断、推理等认识活动的过程。思维是人类特有的一种精神活动,是从社会实践中产生的。","thought; thinking; process of mental activity such as analysis, synthesis, judgement and reasoning, based on ideas and concepts, a mental faculty unique to humankind, and a product of social practice.",,,名词
素食,sù shí,960811,96081,1,素的饭食和点心。,vegetarian food; vegetarian diet,,,名词
素质,sù zhì,960911,96091,1,指事物本来的性质。,nature; essential character of sth.,,,名词
弹性,tán xìng,962811,96281,1,"物体受外力作用变形后,除去作用力时能恢复原来形状的性质。",elasticity; (of an object) the property of returning to its initial form or state after being deformed by an external force,,,名词
同志,tóng zhì,968011,96801,1,"为共同的理想、事业而奋斗的人,特指同一个政党的成员。","comrade; persons who strive for the common ideal or cause, esp. members of the same party",,,名词
统计,tǒng jì,968211,96821,1,指对某一现象有关的数据的搜集、整理、计算和分析等。,"statistics, census; collection, organization, calculation, analysis, etc., of the relevant data of a phenomenon",,,动词
推翻,tuī fān,969911,96991,1,"用武力打垮旧的政权,使局面彻底改变。",overthrow; overturn; topple; smash an old regime by force in order to bring about a complete change,,,动词
网络,wǎng luò,973311,97331,1,网状的东西。,network,,,名词
威力,wēi lì,973811,97381,1,强大的使人畏惧的力量。,"power; force; awe-inspiring, powerful strength",,,名词
卫星,wèi xīng,975511,97551,1,"按一定轨道绕行星运行的天体,本身不能发光。",satellite; moon; celestial body that moves around a planet along a given orbit and does not emit light by itself,,,名词
牺牲,xī shēng,979611,97961,1,为祭祀宰杀的牲畜。,sacrifice; beast slaughtered for sacrifice,,,名词
媳妇,xí fù,979811,97981,1,儿子的妻子。,son's wife; daughter-in-law;,,,名词
向导,xiàng dǎo,984111,98411,1,带路。,show sb. the way; act as a guide,,,动词
烟花,yān huā,993911,99391,1,指春天艳丽的景物。,lovely spring scene,,,名词
掩护,yǎn hù,995911,99591,1,"对敌采取警戒、牵制、压制等手段,保障部队或人员行动的安全。",screen; shield; cover; protect the safety of one's army or personnel by guarding against or containing an enemy,,,动词
野蛮,yě mán,998011,99801,1,不文明;没有开化。,uncivilized; savage,,,形容词
遗产,yí chǎn,999611,99961,1,"死者留下的财产,包括财物、债权等。","legacy; inheritance; heritage; property left behind after one's death, including property, creditor's rights, etc.",,,名词
意识,yì shí,1001611,100161,1,"人的头脑对于客观物质世界的反映,是感觉、思维等各种心理过程的总和,其中的思维是人类特有的反映现实的高级形式。存在决定意识,意识又反作用于存在。","consciousness; awareness. The reflection of the objective material world in man's mind is the sum total of sensation, thinking and other psychological processes, and thinking is a high form of reflection of reality peculiar to man. Being determines consciousness, and consciousness reacts on being.",,,名词
抑制,yì zhì,1002311,100231,1,"大脑皮层的两种基本神经活动过程之一。是在外部或内部刺激下产生的,作用是阻止皮层的兴奋,减弱器官机能的活动。睡眠就是大脑皮层全部处于抑制的现象。","inhibition; one of the two basic processes of nervous activity of the cerebral cortex, caused by external or internal stimulation, its function being to check the excitation of the cortex and reduce the activities of the organs. Sleep is exactly a complete inhibition of the cerebral cortex.",,,动词
油漆,yóu qī,1005811,100581,1,泛指油类和漆类涂料。,paint,,,名词
幼稚,yòu zhì,1006111,100611,1,年纪小。,young,,,形容词
诱惑,yòu huò,1006211,100621,1,"使用手段,使人认识模糊而做坏事。",entice; tempt; seduce; lure,,,动词
元首,yuán shǒu,1008011,100801,1,君主。,monarch,,,名词
战斗,zhàn dòu,1014011,101401,1,"敌对双方所进行的武装冲突,是达到战争目的的主要手段。","fight; battle; combat; military conflict between antagonistic parties, the main means to achieve the objectives of a war",,,名词
战略,zhàn lüè,1014111,101411,1,指导战争全局的计划和策略。,strategy; overall plan and tactics for a war,,,名词
占领,zhàn lǐng,1014511,101451,1,用武装力量取得(阵地或领土)。,capture; occupy; seize; use force to seize (a position or territory),,,动词
占有,zhàn yǒu,1014611,101461,1,占据。,own; possess; have,,,动词
阵容,zhèn róng,1017011,101701,1,作战队伍的外貌。,battle array (or formation),,,名词
支出,zhī chū,1019911,101991,1,付出去;支付。,pay (money); expend; disburse,,,动词
支柱,zhī zhù,1020311,102031,1,起支撑作用的柱子。,pillar; prop,,,名词
知觉,zhī jué,1020411,102041,1,"反映客观事物的整体形象和表面联系的心理过程。知觉是在感觉的基础上形成的,比感觉复杂、完整。",perception; psychological process that reflects the overall image of sth. objective and its superficial relationships. Perception is formed on the basis of sensations but is more complex and complete.,,,名词
重心,zhòng xīn,1024811,102481,1,"物体内各点所受的重力产生合力,这个合力的作用点叫做这个物体的重心。",barycentre; centre of mass; centre of gravity; centroid; point in a body at which the mass of various points within the same body may be considered to be concentrated and at which external forces may be considered to be applied,,,名词
重心,zhòng xīn,1024812,102481,2,"三角形三条中线相交于一点,这个点叫做三角形的重心。",median point; intersection of the three medians of a triangle,,,名词
周转,zhōu zhuǎn,1025811,102581,1,"企业的资金从投入生产到销售产品而收回货币,再投入生产,这个过程一次又一次地重复进行,叫做周转。周转所需的时间,是生产时间和流通时间的总和。","turnover; repeated business process, from investment, production and sales to the return of the invested capital; the time taken for a turnover is the sum of productive time plus circulating time",,,动词
主流,zhǔ liú,1026811,102681,1,干流。,trunk stream; mainstream,,,名词
主题,zhǔ tí,1027011,102701,1,"文学、艺术作品中所表现的中心思想,是作品思想内容的核心。",theme (of a literary or art work); subject; motif; leitmotiv,,,名词
资本,zī běn,1030811,103081,1,用来生产或经营以求牟利的生产资料和货币。,capital; materials and money used in production or management to pursue profit,,,名词
走廊,zǒu láng,1032811,103281,1,"屋檐下高出平地的走道,或房屋之间有顶的走道。",corridor; passage; passageway; raised walkway under the eaves of a house; roofed walkway between two buildings,,,名词
塌实,tā shi,2013411,201341,1,(工作或学习的态度)切实;不浮躁。,(of attitude towards work or study) down-to-earth; steadfast,,,形容词
锥度,zhuī dù,2015411,201541,1,柱形物体的横剖面向一端逐渐缩小的形式。,coning; tapering; gradual decrease in breadth or thickness of one end of an elongated object;,,,名词
芙蓉,fú róng,2017411,201741,1,木芙蓉。,cottonrose hibiscus (Hibiscus mutabilis),,,名词
傀儡,kuǐ lěi,2022111,202211,1,木偶戏里的木头人。,puppet; marionette; wooden figure in puppet show,,,名词
木犀,mù xi,2032511,203251,1,"常绿小乔木或灌木,叶子椭圆形,花小,白色或暗黄色,有特殊的香气,结核果,卵圆形。花供观赏,又可做香料。","sweet-scented osmanthus (Osmanthus fragrans); evergreen tree or shrub with oblong leaves, small, white or yellowish flowers, a special sweet scent, ovate drupels, and flowers that are used for ornament or making perfumes and spices;",,,名词
木犀,mù xi,2032512,203251,2,这种植物的花。,flower of the plant;,,,名词
轱辘,gū lu,2033611,203361,1,车轮子。,wheel,,,名词
想像,xiǎng xiàng,2034711,203471,1,"心理学上指在知觉材料的基础上,经过新的配合而创造出新形象的心理过程。",imagination; psychological process of creating mental images through the recombination of available perceived material,,,动词
低回,dī huí,2036111,203611,1,徘徊(huái)。,pace up and down,,,动词
文字,wén zì,2040611,204061,1,"记录语言的符号,如汉字、拉丁字母等。","characters; script; writing; symbols for recording what is spoken, as Chinese characters, Latin letters, etc.",,,名词
文字,wén zì,2040612,204061,2,"语言的书面形式,如汉文、英文等。","written form of a language, as the Chinese language, English language, etc.",,,名词
础石,chǔ shí,2041411,204141,1,垫在房屋柱子底下的石头。,stone base on which the columns of a house stand,,,名词
豆子,dòu zi,2043311,204331,1,豆类作物。,pod-bearing plant; legume; pulse; pea; bean,,,名词
津贴,jīn tiē,2043411,204341,1,"工资以外的补助费,也指供给制人员的生活零用钱。","subsidy; allowance, in addition to salary",,,名词
羽毛,yǔ máo,2043811,204381,1,"鸟类身体表面所长的毛,有保护身体、保持体温、帮助飞翔等作用。","feather; plume; covering growth on the body of a bird, which protects the body, keeps the temperature and helps it fly",,,名词
坝子,bà zi,2044311,204431,1,same as坝,bà,,,名词
渣滓,zhā zǐ,2044711,204471,1,物品提出精华后剩下的东西。,dregs; sediment; residue; leftover after the essence has been abstracted,,,名词
渲染,xuàn rǎn,2045911,204591,1,"国画的一种画法,用水墨或淡的色彩涂抹画面,以加强艺术效果。","Chinese painting style, where washes of ink or pale colours are added to a Chinese painting to heighten artistic effect; ratchet up",,,动词
刻板,kè bǎn,2046011,204601,1,"在木板或金属板上刻字或图(或用化学方法腐蚀而成),使成为印刷用的底版。","engrave, or use chemical erosion to prepare, blocks for printing; carve printing blocks;",,,名词
烟火,yān huǒ,2053423,205342,3,烽火;战火。,signal fire; flames of war,,,名词
婵娟,chán juān,2054211,205421,1,"(姿态)美好,多用来形容女子。",(oft. of women) lovely; graceful; beautiful,,,形容词
饥荒,jī huang,2054511,205451,1,庄稼收成不好或没有收成。,crop failure,,,名词
